paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,bucket_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,bucket_df2,similarity_score,ID
5390972920f70186a0dfac9c,colorful xml one hierarchy isnt enough,"h v jagadish, laks v s lakshmanan, monica scannapieco, divesh srivastava, nuwee wiwatwattana",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,c,53e998dbb7602d97021143ef,colorful xml one hierarchy isnt enough,"h v jagadish, laks v s lakshmanan, monica scannapieco, divesh srivastava, nuwee wiwatwattana",sigmod conference,2004,c,1.0,5390972920f70186a0dfac9c53e998dbb7602d97021143ef
5390972920f70186a0dfac9f,effective use of blocklevel sampling in statistics estimation,"surajit chaudhuri, gautam das, utkarsh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,e,53e9b03db7602d9703a9bd2e,effective use of blocklevel sampling in statistics estimation,"surajit chaudhuri, gautam das, utkarsh srivastava",sigmod conference,2004,e,1.0,5390972920f70186a0dfac9f53e9b03db7602d9703a9bd2e
5390972920f70186a0dfaca4,the priority rtree a practically efficient and worstcase optimal rtree,"lars arge, mark de berg, herman j haverkort, ke yi",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,t,53e9b7fcb7602d97043ab826,the priority rtree a practically efficient and worstcase optimal rtree,"lars arge, mark de berg, herman j haverkort, ke yi",sigmod conference,2004,t,1.0,5390972920f70186a0dfaca453e9b7fcb7602d97043ab826
5390972920f70186a0dfaca0,online maintenance of very large random samples,"christopher jermaine, abhijit pol, subramanian arumugam",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,o,53e9afbab7602d9703a07647,online maintenance of very large random samples,"chris jermaine, abhijit pol, subramanian arumugam",sigmod conference,2004,o,1.0,5390972920f70186a0dfaca053e9afbab7602d9703a07647
5390972920f70186a0dfaca5,integrating vertical and horizontal partitioning into automated physical database design,"sanjay agrawal, vivek narasayya, beverly yang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,i,53e9af40b7602d970397d55a,integrating vertical and horizontal partitioning into automated physical database design,"sanjay agrawal, vivek r narasayya, beverly yang",sigmod conference,2004,i,1.0,5390972920f70186a0dfaca553e9af40b7602d970397d55a
5390972920f70186a0dfaca1,conditional selectivity for statistics on query expressions,"nicolas bruno, surajit chaudhuri",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,c,53e99ebdb7602d9702783702,conditional selectivity for statistics on query expressions,"nicolas bruno, surajit chaudhuri",sigmod conference,2004,c,1.0,5390972920f70186a0dfaca153e99ebdb7602d9702783702
5390972920f70186a0dfacad,computing clusters of correlation connected objects,"christian böhm, karin kailing, peer kröger, arthur zimek",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,c,53e9a455b7602d9702d724e6,computing clusters of correlation connected objects,"christian böhm, karin kailing, peer kröger, arthur zimek",sigmod conference,2004,c,1.0,5390972920f70186a0dfacad53e9a455b7602d9702d724e6
5390972920f70186a0dfaca2,transaction support for indexed summary views,"goetz graefe, michael zwilling",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,t,53e9b5f3b7602d9704146102,transaction support for indexed views,"goetz graefe, michael j zwilling",sigmod conference,2004,t,0.8333333333333334,5390972920f70186a0dfaca253e9b5f3b7602d9704146102
5390972920f70186a0dfac99,fast computation of database operations using graphics processors,"naga k govindaraju, brandon lloyd, wei wang, ming lin, dinesh manocha",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,f,53e9b93eb7602d9704527141,fast computation of database operations using graphics processors,"naga k govindaraju, brandon lloyd, wei wang 0010, ming c lin, dinesh manocha",sigmod conference,2004,f,1.0,5390972920f70186a0dfac9953e9b93eb7602d9704527141
5390972920f70186a0dfac9d,approximate xml query answers,"neoklis polyzotis, minos garofalakis, yannis ioannidis",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,a,53e99a57b7602d97022be053,approximate xml query answers,"neoklis polyzotis, minos n garofalakis, yannis e ioannidis",sigmod conference,2004,a,1.0,5390972920f70186a0dfac9d53e99a57b7602d97022be053
5390972920f70186a0dfac9e,a bilevel bernoulli scheme for database sampling,"peter j haas, christian könig",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,a,53e9b891b7602d9704464f49,a bilevel bernoulli scheme for database sampling,"peter j haas, christian koenig",sigmod conference,2004,a,1.0,5390972920f70186a0dfac9e53e9b891b7602d9704464f49
5390972920f70186a0dfac92,"identifying similarities, periodicities and bursts for online search queries","michail vlachos, christopher meek, zografoula vagena, dimitrios gunopulos",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,i,53e9af0cb7602d9703940b40,"identifying similarities, periodicities and bursts for online search queries","michail vlachos, christopher meek, zografoula vagena, dimitrios gunopulos",sigmod conference,2004,i,1.0,5390972920f70186a0dfac9253e9af0cb7602d9703940b40
5390972920f70186a0dfac98,rankaware query optimization,"ihab f ilyas, rahul shah, walid g aref, jeffrey scott vitter, ahmed k elmagarmid",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,r,53e99b04b7602d970239433b,rankaware query optimization,"ihab f ilyas, rahul shah, walid g aref, jeffrey scott vitter, ahmed k elmagarmid",sigmod conference,2004,r,1.0,5390972920f70186a0dfac9853e99b04b7602d970239433b
5390972920f70186a0dfac9b,data stream management for historical xml data,"sujoe bose, leonidas fegaras",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,d,53e9be2eb7602d9704ae9d64,data stream management for historical xml data,"sujoe bose, leonidas fegaras",sigmod conference,2004,d,1.0,5390972920f70186a0dfac9b53e9be2eb7602d9704ae9d64
5390972920f70186a0dfacb3,compressing historical information in sensor networks,"antonios deligiannakis, yannis kotidis, nick roussopoulos",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,c,53e9a675b7602d9702fa8dac,compressing historical information in sensor networks,"antonios deligiannakis, yannis kotidis, nick roussopoulos",sigmod conference,2004,c,1.0,5390972920f70186a0dfacb353e9a675b7602d9702fa8dac
5390972920f70186a0dfacb5,extending query rewriting techniques for finegrained access control,"shariq rizvi, alberto mendelzon, s sudarshan, prasan roy",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,e,53e9ac95b7602d970366bbc7,extending query rewriting techniques for finegrained access control,"shariq rizvi, alberto o mendelzon, s sudarshan 0001, prasan roy",sigmod conference,2004,e,1.0,5390972920f70186a0dfacb553e9ac95b7602d970366bbc7
5390972920f70186a0dfacc1,approximation techniques for spatial data,"abhinandan das, johannes gehrke, mirek riedewald",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,a,53e9ab65b7602d9703502570,approximation techniques for spatial data,"abhinandan das, johannes gehrke, mirek riedewald",sigmod conference,2004,a,1.0,5390972920f70186a0dfacc153e9ab65b7602d9703502570
5390972920f70186a0dfacb9,indexing spatiotemporal trajectories with chebyshev polynomials,"yuhan cai, raymond ng",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,i,53e9b0d8b7602d9703b5234e,indexing spatiotemporal trajectories with chebyshev polynomials,"yuhan cai, raymond t ng",sigmod conference,2004,i,1.0,5390972920f70186a0dfacb953e9b0d8b7602d9703b5234e
5390972920f70186a0dfacc3,toss an extension of tax with ontologies and similarity queries,"edward hung, yu deng, v s subrahmanian",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,t,53e9bcd9b7602d970495d880,toss an extension of tax with ontologies and similarity queries,"edward hung, yu deng, v s subrahmanian",sigmod conference,2004,t,1.0,5390972920f70186a0dfacc353e9bcd9b7602d970495d880
5390972920f70186a0dfacc2,spatiallydecaying aggregation over a network model and algorithms,"edith cohen, haim kaplan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,s,53e9b4a5b7602d9703fb482d,spatiallydecaying aggregation over a network model and algorithms,"edith cohen, haim kaplan",sigmod conference,2004,s,1.0,5390972920f70186a0dfacc253e9b4a5b7602d9703fb482d
5390972920f70186a0dfac94,diamond in the rough finding hierarchical heavy hitters in multidimensional data,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,d,53e9a6f5b7602d97030287a5,diamond in the rough finding hierarchical heavy hitters in multidimensional data,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",sigmod conference,2004,d,1.0,5390972920f70186a0dfac9453e9a6f5b7602d97030287a5
5390972920f70186a0dfac90,understanding web query interfaces besteffort parsing with hidden syntax,"zhen zhang, bin he, kevin chenchuan chang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,u,53e9adb6b7602d97037b6b56,understanding web query interfaces besteffort parsing with hidden syntax,"zhen zhang, bin he, kevin chenchuan chang",sigmod conference,2004,u,1.0,5390972920f70186a0dfac9053e9adb6b7602d97037b6b56
5390972920f70186a0dfacc6,automatic categorization of query results,"kaushik chakrabarti, surajit chaudhuri, seungwon hwang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,a,53e9ab13b7602d970349777a,automatic categorization of query results,"kaushik chakrabarti, surajit chaudhuri, seungwon hwang",sigmod conference,2004,a,1.0,5390972920f70186a0dfacc653e9ab13b7602d970349777a
5390972920f70186a0dfac96,optimization of query streams using semantic prefetching,"ivan t bowman, kenneth salem",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,o,53e9ac82b7602d970365667d,optimization of query streams using semantic prefetching,"ivan t bowman, kenneth salem",sigmod conference,2004,o,1.0,5390972920f70186a0dfac9653e9ac82b7602d970365667d
5390972920f70186a0dfac95,costbased labeling of groups of mass spectra,"lei chen, zheng huang, raghu ramakrishnan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,c,53e99ad0b7602d97023502b2,costbased labeling of groups of mass spectra,"lei chen 0003, zheng huang, raghu ramakrishnan",sigmod conference,2004,c,1.0,5390972920f70186a0dfac9553e99ad0b7602d97023502b2
5390972920f70186a0dfacc9,toward a progress indicator for database queries,"gang luo, jeffrey f naughton, curt j ellmann, michael w watzke",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,t,53e9b7c7b7602d9704374e05,toward a progress indicator for database queries,"gang luo, jeffrey f naughton, curt j ellmann, michael watzke",sigmod conference,2004,t,1.0,5390972920f70186a0dfacc953e9b7c7b7602d9704374e05
5390972920f70186a0dfaccd,query sampling in db2 universal database,"jarek gryz, junjie guo, linqi liu, calisto zuzarte",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,q,53e9b31bb7602d9703de35ca,query sampling in db2 universal database,"jarek gryz, junjie guo, linqi liu, calisto zuzarte",sigmod conference,2004,q,1.0,5390972920f70186a0dfaccd53e9b31bb7602d9703de35ca
5390972920f70186a0dfacc8,on the integration of structure indexes and inverted lists,"raghav kaushik, rajasekar krishnamurthy, jeffrey f naughton, raghu ramakrishnan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,o,53e9b275b7602d9703d18778,on the integration of structure indexes and inverted lists,"raghav kaushik, rajasekar krishnamurthy, jeffrey f naughton, raghu ramakrishnan",sigmod conference,2004,o,1.0,5390972920f70186a0dfacc853e9b275b7602d9703d18778
5390972920f70186a0dfacc7,when one sample is not enough improving text database selection using shrinkage,"panagiotis g ipeirotis, luis gravano",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,w,53e99bdcb7602d970248525b,when one sample is not enough improving text database selection using shrinkage,"panagiotis g ipeirotis, luis gravano",sigmod conference,2004,w,1.0,5390972920f70186a0dfacc753e99bdcb7602d970248525b
5390972920f70186a0dfacc4,informationtheoretic tools for mining database structure from large data sets,"periklis andritsos, renée j miller, panayiotis tsaparas",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,i,53e9a40eb7602d9702d26751,informationtheoretic tools for mining database structure from large data sets,"periklis andritsos, renée j miller, panayiotis tsaparas",sigmod conference,2004,i,1.0,5390972920f70186a0dfacc453e9a40eb7602d9702d26751
5390972920f70186a0dfacd2,vertical and horizontal percentage aggregations,carlos ordonez,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,v,53e9b40eb7602d9703f06558,vertical and horizontal percentage aggregations,carlos ordonez,sigmod conference,2004,v,1.0,5390972920f70186a0dfacd253e9b40eb7602d9703f06558
5390972920f70186a0dfac8b,blas an efficient xpath processing system,"yi chen, susan b davidson, yifeng zheng",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,b,53e9b923b7602d970450eb39,blas an efficient xpath processing system,"yi chen 0001, susan b davidson, yifeng zheng",sigmod conference,2004,b,1.0,5390972920f70186a0dfac8b53e9b923b7602d970450eb39
5390972920f70186a0dfac93,farmer finding interesting rule groups in microarray datasets,"gao cong, anthony k h tung, xin xu, feng pan, jiong yang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,f,53e9b0abb7602d9703b15178,farmer finding interesting rule groups in microarray datasets,"gao cong, anthony k h tung, xin xu, feng pan, jiong yang",sigmod conference,2004,f,1.0,5390972920f70186a0dfac9353e9b0abb7602d9703b15178
5390972920f70186a0dfac8c,efficient processing of xml twig queries with orpredicates,"haifeng jiang, hongjun lu, wei wang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,e,53e9b6eeb7602d9704284661,efficient processing of twig queries with orpredicates,"haifeng jiang, hongjun lu, wei wang 0011",sigmod conference,2004,e,0.875,5390972920f70186a0dfac8c53e9b6eeb7602d9704284661
5390972920f70186a0dfacda,requirements and policy challenges in highly secure environments,dean e hall,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,r,53e9b844b7602d9704405a6d,requirements and policy challenges in highly secure environments,dean e hall,sigmod conference,2004,r,1.0,5390972920f70186a0dfacda53e9b844b7602d9704405a6d
5390972920f70186a0dface9,load management and high availability in the medusa distributed stream processing system,"magdalena balazinska, hari balakrishnan, michael stonebraker",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,l,53e9b50bb7602d970403c777,load management and high availability in the medusa distributed stream processing system,"magdalena balazinska, hari balakrishnan, michael stonebraker",sigmod conference,2004,l,1.0,5390972920f70186a0dface953e9b50bb7602d970403c777
5390972920f70186a0dfacea,streamon an adaptive engine for stream query processing,"shivnath babu, jennifer widom",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,s,53e9b091b7602d9703afbc94,streamon an adaptive engine for stream query processing,"shivnath babu, jennifer widom",sigmod conference,2004,s,1.0,5390972920f70186a0dfacea53e9b091b7602d9703afbc94
5390972920f70186a0dface4,maids mining alarming incidents from data streams,"y dora cai, david clutter, greg pape, jiawei han, michael welge, loretta auvil",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,m,53e9a627b7602d9702f5406b,maids mining alarming incidents from data streams,"y dora cai, david clutter, greg pape, jiawei han, michael welge, loretta auvil",sigmod conference,2004,m,1.0,5390972920f70186a0dface453e9a627b7602d9702f5406b
5390972920f70186a0dface8,webcam monitoring the dynamic web to respond to continual queries,"shaveen garg, krithi ramamritham, soumen chakrabarti",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,w,53e998f6b7602d9702130587,webcam monitoring the dynamic web to respond to continual queries,"shaveen garg, krithi ramamritham, soumen chakrabarti",sigmod conference,2004,w,1.0,5390972920f70186a0dface853e998f6b7602d9702130587
5390972920f70186a0dface7,pipes a public infrastructure for processing and exploring streams,"jürgen krämer, bernhard seeger",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,p,53e9b2f5b7602d9703db51d5,pipes  a public infrastructure for processing and exploring streams,"jürgen krämer, bernhard seeger",sigmod conference,2004,p,1.0,5390972920f70186a0dface753e9b2f5b7602d9703db51d5
5390972920f70186a0dface6,datamime,"masum serazi, vasily malakhov, dongmei ren, amal perera, imad rahal, weihua wu, qiang ding, fei pan, william perrizo",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,d,53e99785b7602d9701f414b8,datamime,"masum serazi, amal perera, qiang ding, vasiliy malakhov, imad rahal, fei pan, dongmei ren, weihua wu, william perrizo",sigmod conference,2004,d,1.0,5390972920f70186a0dface653e99785b7602d9701f414b8
5390972920f70186a0dfacf3,lexequal multilexical matching operator in sql,"a kumaran, jayant r haritsa",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,l,53e9a210b7602d9702b16118,lexequal multilexical matching operator in sql,"a kumaran, jayant r haritsa",sigmod conference,2004,l,1.0,5390972920f70186a0dfacf353e9a210b7602d9702b16118
5390972920f70186a0dfacf2,managing healthcare data hippocratically,"rakesh agrawal, ameet kini, kristen lefevre, amy wang, yirong xu, diana zhou",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,m,53e99a62b7602d97022ce2ad,managing healthcare data hippocratically,"rakesh agrawal, ameet kini, kristen lefevre, amy wang, yirong xu, diana zhou",sigmod conference,2004,m,1.0,5390972920f70186a0dfacf253e99a62b7602d97022ce2ad
5390972920f70186a0dfacf4,itqs an integrated transport query system,"b huang, z huang, h li, d lin, h lu, y song",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,i,53e9af4db7602d970398eea4,itqs an integrated transport query system,"bo huang 0001, zhiyong huang, dan lin, hua lu, yaxiao song, hongga li",sigmod conference,2004,i,1.0,5390972920f70186a0dfacf453e9af4db7602d970398eea4
5390972920f70186a0dfacf9,security of shared data in large systems state of the art and research directions,"arnon rosenthal, marianne winslett",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,s,53e9bc96b7602d970491374f,security of shared data in large systems state of the art and research directions,"arnon rosenthal, marianne winslett",sigmod conference,2004,s,1.0,5390972920f70186a0dfacf953e9bc96b7602d970491374f
5390972920f70186a0dface5,façade a fast and effective approach to the discovery of dense clusters in noisy spatial data,"yu qian, gang zhang, kang zhang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,f,53e9b45eb7602d9703f59be1,façade a fast and effective approach to the discovery of dense clusters in noisy spatial data,"yu qian, gang zhang, kang zhang",sigmod conference,2004,f,1.0,5390972920f70186a0dface553e9b45eb7602d9703f59be1
5390972920f70186a0dface3,liquid data for weblogic integrating enterprise data and services,vinayak borkar,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,l,53e9aa61b7602d97033d58bf,liquid data for weblogic integrating enterprise data and services,vinayak r borkar,sigmod conference,2004,l,1.0,5390972920f70186a0dface353e9aa61b7602d97033d58bf
5390972920f70186a0dfacf6,camas a citizen awareness system for crisis mitigation,"sharad mehrotra, carter butts, dmitri v kalashnikov, nalini venkatasubramanian, kemal altintas, ram hariharan, haimin lee, yiming ma, amnon myers, jehan wickramasuriya, ron eguchi, charles huyck",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,c,53e9aff4b7602d9703a4b43e,camas a citizen awareness system for crisis mitigation,"sharad mehrotra, carter t butts, dmitri v kalashnikov, nalini venkatasubramanian, kemal altintas, ramaswamy hariharan, haimin lee, yiming ma, amnon meyers, jehan wickramasuriya, ron eguchi, charles huyck",sigmod conference,2004,c,1.0,5390972920f70186a0dfacf653e9aff4b7602d9703a4b43e
5390972920f70186a0dfacdf,declarative specification of web applications exploiting web services and workflows,"marco brambilla, stefano ceri, sara comai, marco dario, piero fraternali, ioana manolescu",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,d,53e9a7feb7602d970313d4d5,declarative specification of web applications exploiting web services and workflows,"marco brambilla, stefano ceri, sara comai, marco dario, piero fraternali, ioana manolescu",sigmod conference,2004,d,1.0,5390972920f70186a0dfacdf53e9a7feb7602d970313d4d5
5390972920f70186a0dface0,yoohoo building a presence service with xquery and wsdl,"mary fernández, nicola onose, jérôme siméon",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,y,53e9b9a6b7602d97045987b1,yoohoo building a presence service with xquery and wsdl,"mary f fernández, nicola onose, jérôme siméon",sigmod conference,2004,y,1.0,5390972920f70186a0dface053e9b9a6b7602d97045987b1
5390972920f70186a0dfacc5,efficient set joins on similarity predicates,"sunita sarawagi, alok kirpal",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,e,53e99ef4b7602d97027c1f5f,efficient set joins on similarity predicates,"sunita sarawagi, alok kirpal",sigmod conference,2004,e,1.0,5390972920f70186a0dfacc553e99ef4b7602d97027c1f5f
5390972920f70186a0dfacdd,xml in the middle xquery in the weblogic platform,michael j carey,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,x,53e99cdfb7602d9702592a9f,xml in the middle xquery in the weblogic platform,michael j carey,sigmod conference,2004,x,1.0,5390972920f70186a0dfacdd53e99cdfb7602d9702592a9f
5390972920f70186a0dfacdc,serviceoriented bi towards tight integration of business intelligence into operational applications,"marcus dill, achim kraiss, stefan sigg, thomas zurek",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,s,53e9a3d4b7602d9702ce7a34,serviceoriented bi towards tight integration of business intelligence into operational applications,"marcus dill, achim kraiss, stefan sigg, thomas zurek",sigmod conference,2004,s,1.0,5390972920f70186a0dfacdc53e9a3d4b7602d9702ce7a34
5390972920f70186a0dfacd9,dbswitch towards a database utility,"shaul dar, gil hecht, eden shochat",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,d,53e9abbeb7602d970356de2c,dbswitch  towards a database utility,"shaul dar, gil hecht, eden shochat",sigmod conference,2004,d,1.0,5390972920f70186a0dfacd953e9abbeb7602d970356de2c
5390972920f70186a0dfacd8,modeldriven business ui based on maps,per bendsen,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,m,53e9a5afb7602d9702edaae3,modeldriven business ui based on maps,per bendsen,sigmod conference,2004,m,1.0,5390972920f70186a0dfacd853e9a5afb7602d9702edaae3
5390972920f70186a0dfacd4,enabling sovereign information sharing using web services,"rakesh agrawal, dmitri asonov, ramakrishnan srikant",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,e,53e9b489b7602d9703f8fe3d,enabling sovereign information sharing using web services,"rakesh agrawal, dmitri asonov, ramakrishnan srikant",sigmod conference,2004,e,1.0,5390972920f70186a0dfacd453e9b489b7602d9703f8fe3d
5390972920f70186a0dfacd6,"secure, reliable, transacted innovation in web services architecture",martin gudgin,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,s,53e9a13fb7602d9702a2c882,"secure, reliable, transacted innovation in web services architecture",martin gudgin,sigmod conference,2004,s,1.0,5390972920f70186a0dfacd653e9a13fb7602d9702a2c882
5390972920f70186a0dfaccf,parallel sql execution in oracle 10g,"thierry cruanes, benoit dageville, bhaskar ghosh",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,p,53e99de8b7602d97026a79e6,parallel sql execution in oracle 10g,"thierry cruanes, benoît dageville, bhaskar ghosh",sigmod conference,2004,p,1.0,5390972920f70186a0dfaccf53e99de8b7602d97026a79e6
5390972920f70186a0dfaccb,relaxed currency and consistency how to say good enough in sql,"hongfei guo, peråke larson, raghu ramakrishnan, jonathan goldstein",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,r,53e99c19b7602d97024c59ba,relaxed currency and consistency how to say good enough in sql,"hongfei guo, peråke larson, raghu ramakrishnan, jonathan goldstein",sigmod conference,2004,r,1.0,5390972920f70186a0dfaccb53e99c19b7602d97024c59ba
5390972920f70186a0dfacd5,building dynamic application networks with web services,matthew mihic,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,b,53e9b365b7602d9703e41ee0,building dynamic application networks with web services,matthew mihic,sigmod conference,2004,b,1.0,5390972920f70186a0dfacd553e9b365b7602d9703e41ee0
