paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,similarity_score
5390972920f70186a0dfac9c,colorful xml one hierarchy isnt enough,"h v jagadish, laks v s lakshmanan, monica scannapieco, divesh srivastava, nuwee wiwatwattana",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,10,53e998dbb7602d97021143ef,colorful xml one hierarchy isnt enough,"h v jagadish, laks v s lakshmanan, monica scannapieco, divesh srivastava, nuwee wiwatwattana",sigmod conference,2004,4610,1.0
5390972920f70186a0dfac9f,effective use of blocklevel sampling in statistics estimation,"surajit chaudhuri, gautam das, utkarsh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,11,53e9b03db7602d9703a9bd2e,effective use of blocklevel sampling in statistics estimation,"surajit chaudhuri, gautam das, utkarsh srivastava",sigmod conference,2004,4843,1.0
5390972920f70186a0dfaca4,the priority rtree a practically efficient and worstcase optimal rtree,"lars arge, mark de berg, herman j haverkort, ke yi",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,12,53e9b7fcb7602d97043ab826,the priority rtree a practically efficient and worstcase optimal rtree,"lars arge, mark de berg, herman j haverkort, ke yi",sigmod conference,2004,3635,1.0
5390972920f70186a0dfaca0,online maintenance of very large random samples,"christopher jermaine, abhijit pol, subramanian arumugam",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,13,53e9afbab7602d9703a07647,online maintenance of very large random samples,"chris jermaine, abhijit pol, subramanian arumugam",sigmod conference,2004,4680,0.9555555555555555
5390972920f70186a0dfaca5,integrating vertical and horizontal partitioning into automated physical database design,"sanjay agrawal, vivek narasayya, beverly yang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,14,53e9af40b7602d970397d55a,integrating vertical and horizontal partitioning into automated physical database design,"sanjay agrawal, vivek r narasayya, beverly yang",sigmod conference,2004,3811,0.9869565217391304
5390972920f70186a0dfaca1,conditional selectivity for statistics on query expressions,"nicolas bruno, surajit chaudhuri",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,16,53e99ebdb7602d9702783702,conditional selectivity for statistics on query expressions,"nicolas bruno, surajit chaudhuri",sigmod conference,2004,4088,1.0
5390972920f70186a0dfacad,computing clusters of correlation connected objects,"christian böhm, karin kailing, peer kröger, arthur zimek",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,17,53e9a455b7602d9702d724e6,computing clusters of correlation connected objects,"christian böhm, karin kailing, peer kröger, arthur zimek",sigmod conference,2004,4354,1.0
5390972920f70186a0dfaca2,transaction support for indexed summary views,"goetz graefe, michael zwilling",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,18,53e9b5f3b7602d9704146102,transaction support for indexed views,"goetz graefe, michael j zwilling",sigmod conference,2004,3804,0.863978494623656
5390972920f70186a0dfac99,fast computation of database operations using graphics processors,"naga k govindaraju, brandon lloyd, wei wang, ming lin, dinesh manocha",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,19,53e9b93eb7602d9704527141,fast computation of database operations using graphics processors,"naga k govindaraju, brandon lloyd, wei wang 0010, ming c lin, dinesh manocha",sigmod conference,2004,4350,0.9695652173913043
5390972920f70186a0dfac9d,approximate xml query answers,"neoklis polyzotis, minos garofalakis, yannis ioannidis",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,20,53e99a57b7602d97022be053,approximate xml query answers,"neoklis polyzotis, minos n garofalakis, yannis e ioannidis",sigmod conference,2004,3623,0.982
5390972920f70186a0dfac9e,a bilevel bernoulli scheme for database sampling,"peter j haas, christian könig",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,21,53e9b891b7602d9704464f49,a bilevel bernoulli scheme for database sampling,"peter j haas, christian koenig",sigmod conference,2004,3802,0.9363636363636363
5390972920f70186a0dfac92,"identifying similarities, periodicities and bursts for online search queries","michail vlachos, christopher meek, zografoula vagena, dimitrios gunopulos",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,22,53e9af0cb7602d9703940b40,"identifying similarities, periodicities and bursts for online search queries","michail vlachos, christopher meek, zografoula vagena, dimitrios gunopulos",sigmod conference,2004,3245,1.0
5390972920f70186a0dfac98,rankaware query optimization,"ihab f ilyas, rahul shah, walid g aref, jeffrey scott vitter, ahmed k elmagarmid",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,23,53e99b04b7602d970239433b,rankaware query optimization,"ihab f ilyas, rahul shah, walid g aref, jeffrey scott vitter, ahmed k elmagarmid",sigmod conference,2004,4132,1.0
5390972920f70186a0dfac9b,data stream management for historical xml data,"sujoe bose, leonidas fegaras",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,24,53e9be2eb7602d9704ae9d64,data stream management for historical xml data,"sujoe bose, leonidas fegaras",sigmod conference,2004,4949,1.0
5390972920f70186a0dfacb3,compressing historical information in sensor networks,"antonios deligiannakis, yannis kotidis, nick roussopoulos",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,25,53e9a675b7602d9702fa8dac,compressing historical information in sensor networks,"antonios deligiannakis, yannis kotidis, nick roussopoulos",sigmod conference,2004,3432,1.0
5390972920f70186a0dfaca7,imap discovering complex semantic matches between database schemas,"robin dhamankar, yoonkyong lee, anhai doan, alon halevy, pedro domingos",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,27,53e99c36b7602d97024e419a,imap discovering complex mappings between database schemas,"robin dhamankar, yoonkyong lee, anhai doan, alon y halevy, pedro domingos",sigmod conference,2004,4105,0.762051282051282
5390972920f70186a0dfacb5,extending query rewriting techniques for finegrained access control,"shariq rizvi, alberto mendelzon, s sudarshan, prasan roy",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,28,53e9ac95b7602d970366bbc7,extending query rewriting techniques for finegrained access control,"shariq rizvi, alberto o mendelzon, s sudarshan 0001, prasan roy",sigmod conference,2004,4387,0.9624999999999999
5390972920f70186a0dfacb4,efficient query reformulation in peer data management systems,"igor tatarinov, alon halevy",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,29,53e99976b7602d97021b87f6,efficient query reformulation in peerdata management systems,"igor tatarinov, alon y halevy",sigmod conference,2004,3948,0.7459770114942528
5390972920f70186a0dfacc1,approximation techniques for spatial data,"abhinandan das, johannes gehrke, mirek riedewald",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,30,53e9ab65b7602d9703502570,approximation techniques for spatial data,"abhinandan das, johannes gehrke, mirek riedewald",sigmod conference,2004,4665,1.0
5390972920f70186a0dfacb9,indexing spatiotemporal trajectories with chebyshev polynomials,"yuhan cai, raymond ng",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,31,53e9b0d8b7602d9703b5234e,indexing spatiotemporal trajectories with chebyshev polynomials,"yuhan cai, raymond t ng",sigmod conference,2004,4341,0.9739130434782608
5390972920f70186a0dfacc3,toss an extension of tax with ontologies and similarity queries,"edward hung, yu deng, v s subrahmanian",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,32,53e9bcd9b7602d970495d880,toss an extension of tax with ontologies and similarity queries,"edward hung, yu deng, v s subrahmanian",sigmod conference,2004,4348,1.0
5390972920f70186a0dfacc2,spatiallydecaying aggregation over a network model and algorithms,"edith cohen, haim kaplan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,33,53e9b4a5b7602d9703fb482d,spatiallydecaying aggregation over a network model and algorithms,"edith cohen, haim kaplan",sigmod conference,2004,4110,1.0
5390972920f70186a0dfac97,buffering databse operations for enhanced instruction cache performance,"jingren zhou, kenneth a ross",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,34,53e9ae63b7602d970387e5fb,buffering database operations for enhanced instruction cache performance,"jingren zhou, kenneth a ross",sigmod conference,2004,3645,0.8444444444444443
5390972920f70186a0dfac94,diamond in the rough finding hierarchical heavy hitters in multidimensional data,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,36,53e9a6f5b7602d97030287a5,diamond in the rough finding hierarchical heavy hitters in multidimensional data,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",sigmod conference,2004,3929,1.0
5390972920f70186a0dfac90,understanding web query interfaces besteffort parsing with hidden syntax,"zhen zhang, bin he, kevin chenchuan chang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,37,53e9adb6b7602d97037b6b56,understanding web query interfaces besteffort parsing with hidden syntax,"zhen zhang, bin he, kevin chenchuan chang",sigmod conference,2004,4663,1.0
5390972920f70186a0dfacc6,automatic categorization of query results,"kaushik chakrabarti, surajit chaudhuri, seungwon hwang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,38,53e9ab13b7602d970349777a,automatic categorization of query results,"kaushik chakrabarti, surajit chaudhuri, seungwon hwang",sigmod conference,2004,4595,1.0
5390972920f70186a0dfac96,optimization of query streams using semantic prefetching,"ivan t bowman, kenneth salem",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,39,53e9ac82b7602d970365667d,optimization of query streams using semantic prefetching,"ivan t bowman, kenneth salem",sigmod conference,2004,4328,1.0
5390972920f70186a0dfac95,costbased labeling of groups of mass spectra,"lei chen, zheng huang, raghu ramakrishnan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,40,53e99ad0b7602d97023502b2,costbased labeling of groups of mass spectra,"lei chen 0003, zheng huang, raghu ramakrishnan",sigmod conference,2004,4902,0.9634146341463414
5390972920f70186a0dfacc9,toward a progress indicator for database queries,"gang luo, jeffrey f naughton, curt j ellmann, michael w watzke",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,41,53e9b7c7b7602d9704374e05,toward a progress indicator for database queries,"gang luo, jeffrey f naughton, curt j ellmann, michael watzke",sigmod conference,2004,4671,0.9948275862068965
5390972920f70186a0dfaccd,query sampling in db2 universal database,"jarek gryz, junjie guo, linqi liu, calisto zuzarte",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,42,53e9b31bb7602d9703de35ca,query sampling in db2 universal database,"jarek gryz, junjie guo, linqi liu, calisto zuzarte",sigmod conference,2004,4601,1.0
5390972920f70186a0dfacc8,on the integration of structure indexes and inverted lists,"raghav kaushik, rajasekar krishnamurthy, jeffrey f naughton, raghu ramakrishnan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,43,53e9b275b7602d9703d18778,on the integration of structure indexes and inverted lists,"raghav kaushik, rajasekar krishnamurthy, jeffrey f naughton, raghu ramakrishnan",sigmod conference,2004,4846,1.0
5390972920f70186a0dfacc7,when one sample is not enough improving text database selection using shrinkage,"panagiotis g ipeirotis, luis gravano",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,45,53e99bdcb7602d970248525b,when one sample is not enough improving text database selection using shrinkage,"panagiotis g ipeirotis, luis gravano",sigmod conference,2004,4675,1.0
5390972920f70186a0dfacc4,informationtheoretic tools for mining database structure from large data sets,"periklis andritsos, renée j miller, panayiotis tsaparas",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,46,53e9a40eb7602d9702d26751,informationtheoretic tools for mining database structure from large data sets,"periklis andritsos, renée j miller, panayiotis tsaparas",sigmod conference,2004,3918,1.0
5390972920f70186a0dfacd2,vertical and horizontal percentage aggregations,carlos ordonez,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,47,53e9b40eb7602d9703f06558,vertical and horizontal percentage aggregations,carlos ordonez,sigmod conference,2004,3633,1.0
5390972920f70186a0dfac8b,blas an efficient xpath processing system,"yi chen, susan b davidson, yifeng zheng",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,48,53e9b923b7602d970450eb39,blas an efficient xpath processing system,"yi chen 0001, susan b davidson, yifeng zheng",sigmod conference,2004,3431,0.9605263157894737
5390972920f70186a0dfac93,farmer finding interesting rule groups in microarray datasets,"gao cong, anthony k h tung, xin xu, feng pan, jiong yang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,49,53e9b0abb7602d9703b15178,farmer finding interesting rule groups in microarray datasets,"gao cong, anthony k h tung, xin xu, feng pan, jiong yang",sigmod conference,2004,4218,1.0
5390972920f70186a0dfac8c,efficient processing of xml twig queries with orpredicates,"haifeng jiang, hongjun lu, wei wang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,50,53e9b6eeb7602d9704284661,efficient processing of twig queries with orpredicates,"haifeng jiang, hongjun lu, wei wang 0011",sigmod conference,2004,4611,0.8683823529411764
5390972920f70186a0dfacda,requirements and policy challenges in highly secure environments,dean e hall,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,51,53e9b844b7602d9704405a6d,requirements and policy challenges in highly secure environments,dean e hall,sigmod conference,2004,4774,1.0
5390972920f70186a0dface9,load management and high availability in the medusa distributed stream processing system,"magdalena balazinska, hari balakrishnan, michael stonebraker",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,52,53e9b50bb7602d970403c777,load management and high availability in the medusa distributed stream processing system,"magdalena balazinska, hari balakrishnan, michael stonebraker",sigmod conference,2004,4356,1.0
5390972920f70186a0dfacea,streamon an adaptive engine for stream query processing,"shivnath babu, jennifer widom",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,53,53e9b091b7602d9703afbc94,streamon an adaptive engine for stream query processing,"shivnath babu, jennifer widom",sigmod conference,2004,4613,1.0
5390972920f70186a0dface4,maids mining alarming incidents from data streams,"y dora cai, david clutter, greg pape, jiawei han, michael welge, loretta auvil",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,54,53e9a627b7602d9702f5406b,maids mining alarming incidents from data streams,"y dora cai, david clutter, greg pape, jiawei han, michael welge, loretta auvil",sigmod conference,2004,4339,1.0
5390972920f70186a0dface8,webcam monitoring the dynamic web to respond to continual queries,"shaveen garg, krithi ramamritham, soumen chakrabarti",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,55,53e998f6b7602d9702130587,webcam monitoring the dynamic web to respond to continual queries,"shaveen garg, krithi ramamritham, soumen chakrabarti",sigmod conference,2004,4660,1.0
5390972920f70186a0dface7,pipes a public infrastructure for processing and exploring streams,"jürgen krämer, bernhard seeger",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,56,53e9b2f5b7602d9703db51d5,pipes  a public infrastructure for processing and exploring streams,"jürgen krämer, bernhard seeger",sigmod conference,2004,4779,1.0
5390972920f70186a0dface6,datamime,"masum serazi, vasily malakhov, dongmei ren, amal perera, imad rahal, weihua wu, qiang ding, fei pan, william perrizo",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,57,53e99785b7602d9701f414b8,datamime,"masum serazi, amal perera, qiang ding, vasiliy malakhov, imad rahal, fei pan, dongmei ren, weihua wu, william perrizo",sigmod conference,2004,4217,0.9845360824742267
5390972920f70186a0dfacf3,lexequal multilexical matching operator in sql,"a kumaran, jayant r haritsa",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,58,53e9a210b7602d9702b16118,lexequal multilexical matching operator in sql,"a kumaran, jayant r haritsa",sigmod conference,2004,3818,1.0
5390972920f70186a0dfacf2,managing healthcare data hippocratically,"rakesh agrawal, ameet kini, kristen lefevre, amy wang, yirong xu, diana zhou",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,59,53e99a62b7602d97022ce2ad,managing healthcare data hippocratically,"rakesh agrawal, ameet kini, kristen lefevre, amy wang, yirong xu, diana zhou",sigmod conference,2004,4331,1.0
5390972920f70186a0dfacf4,itqs an integrated transport query system,"b huang, z huang, h li, d lin, h lu, y song",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,60,53e9af4db7602d970398eea4,itqs an integrated transport query system,"bo huang 0001, zhiyong huang, dan lin, hua lu, yaxiao song, hongga li",sigmod conference,2004,4946,0.8188679245283018
5390972920f70186a0dfacf9,security of shared data in large systems state of the art and research directions,"arnon rosenthal, marianne winslett",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,61,53e9bc96b7602d970491374f,security of shared data in large systems state of the art and research directions,"arnon rosenthal, marianne winslett",sigmod conference,2004,4346,1.0
5390972920f70186a0dface5,façade a fast and effective approach to the discovery of dense clusters in noisy spatial data,"yu qian, gang zhang, kang zhang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,63,53e9b45eb7602d9703f59be1,façade a fast and effective approach to the discovery of dense clusters in noisy spatial data,"yu qian, gang zhang, kang zhang",sigmod conference,2004,4358,1.0
5390972920f70186a0dface3,liquid data for weblogic integrating enterprise data and services,vinayak borkar,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,64,53e9aa61b7602d97033d58bf,liquid data for weblogic integrating enterprise data and services,vinayak r borkar,sigmod conference,2004,4376,0.9647058823529411
5390972920f70186a0dfacf6,camas a citizen awareness system for crisis mitigation,"sharad mehrotra, carter butts, dmitri v kalashnikov, nalini venkatasubramanian, kemal altintas, ram hariharan, haimin lee, yiming ma, amnon myers, jehan wickramasuriya, ron eguchi, charles huyck",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,65,53e9aff4b7602d9703a4b43e,camas a citizen awareness system for crisis mitigation,"sharad mehrotra, carter t butts, dmitri v kalashnikov, nalini venkatasubramanian, kemal altintas, ramaswamy hariharan, haimin lee, yiming ma, amnon meyers, jehan wickramasuriya, ron eguchi, charles huyck",sigmod conference,2004,4374,0.9786982248520709
5390972920f70186a0dface1,knocking the door to the deep web integrating web query interfaces,"bin he, zhen zhang, kevin chenchuan chang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,66,53e9b884b7602d9704452a4d,knocking the door to the deep web integration of web query interfaces,"bin he, zhen zhang, kevin chenchuan chang",sigmod conference,2004,4329,0.8090909090909091
5390972920f70186a0dfacdf,declarative specification of web applications exploiting web services and workflows,"marco brambilla, stefano ceri, sara comai, marco dario, piero fraternali, ioana manolescu",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,67,53e9a7feb7602d970313d4d5,declarative specification of web applications exploiting web services and workflows,"marco brambilla, stefano ceri, sara comai, marco dario, piero fraternali, ioana manolescu",sigmod conference,2004,4780,1.0
5390972920f70186a0dface0,yoohoo building a presence service with xquery and wsdl,"mary fernández, nicola onose, jérôme siméon",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,68,53e9b9a6b7602d97045987b1,yoohoo building a presence service with xquery and wsdl,"mary f fernández, nicola onose, jérôme siméon",sigmod conference,2004,3639,0.9930232558139533
5390972920f70186a0dfacc5,efficient set joins on similarity predicates,"sunita sarawagi, alok kirpal",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,69,53e99ef4b7602d97027c1f5f,efficient set joins on similarity predicates,"sunita sarawagi, alok kirpal",sigmod conference,2004,3947,1.0
5390972920f70186a0dfacdd,xml in the middle xquery in the weblogic platform,michael j carey,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,70,53e99cdfb7602d9702592a9f,xml in the middle xquery in the weblogic platform,michael j carey,sigmod conference,2004,4210,1.0
5390972920f70186a0dfacdc,serviceoriented bi towards tight integration of business intelligence into operational applications,"marcus dill, achim kraiss, stefan sigg, thomas zurek",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,71,53e9a3d4b7602d9702ce7a34,serviceoriented bi towards tight integration of business intelligence into operational applications,"marcus dill, achim kraiss, stefan sigg, thomas zurek",sigmod conference,2004,4945,1.0
5390972920f70186a0dfacdb,information assurance technical challenges,nicholas j multari,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,72,53e99a98b7602d9702311bb6,information assurance technology challenges,nicholas j multari,sigmod conference,2004,3934,0.72
5390972920f70186a0dfacd9,dbswitch towards a database utility,"shaul dar, gil hecht, eden shochat",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,73,53e9abbeb7602d970356de2c,dbswitch  towards a database utility,"shaul dar, gil hecht, eden shochat",sigmod conference,2004,3622,1.0
5390972920f70186a0dfacd8,modeldriven business ui based on maps,per bendsen,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,74,53e9a5afb7602d9702edaae3,modeldriven business ui based on maps,per bendsen,sigmod conference,2004,4373,1.0
5390972920f70186a0dfacd4,enabling sovereign information sharing using web services,"rakesh agrawal, dmitri asonov, ramakrishnan srikant",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,76,53e9b489b7602d9703f8fe3d,enabling sovereign information sharing using web services,"rakesh agrawal, dmitri asonov, ramakrishnan srikant",sigmod conference,2004,4120,1.0
5390972920f70186a0dfacd6,"secure, reliable, transacted innovation in web services architecture",martin gudgin,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,77,53e9a13fb7602d9702a2c882,"secure, reliable, transacted innovation in web services architecture",martin gudgin,sigmod conference,2004,4979,1.0
5390972920f70186a0dfaccf,parallel sql execution in oracle 10g,"thierry cruanes, benoit dageville, bhaskar ghosh",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,79,53e99de8b7602d97026a79e6,parallel sql execution in oracle 10g,"thierry cruanes, benoît dageville, bhaskar ghosh",sigmod conference,2004,4623,0.963265306122449
5390972920f70186a0dfaccb,relaxed currency and consistency how to say good enough in sql,"hongfei guo, peråke larson, raghu ramakrishnan, jonathan goldstein",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,80,53e99c19b7602d97024c59ba,relaxed currency and consistency how to say good enough in sql,"hongfei guo, peråke larson, raghu ramakrishnan, jonathan goldstein",sigmod conference,2004,3921,1.0
5390972920f70186a0dfacd5,building dynamic application networks with web services,matthew mihic,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,81,53e9b365b7602d9703e41ee0,building dynamic application networks with web services,matthew mihic,sigmod conference,2004,4352,1.0
5390972920f70186a0dfacd1,hosting the net runtime in microsoft sql server,"alazel acheson, mason bendixen, josé a blakeley, peter carlin, ebru ersan, jun fang, xiaowei jiang, christian kleinerman, balaji rathakrishnan, gideon schaller, beysim sezgin, ramachandran venkatesh, honggang zhang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,82,53e9b565b7602d970409df92,hosting the net runtime in microsoft sql server,"alazel acheson, mason bendixen, josé a blakeley, peter carlin, ebru ersan, jun fang, xiaowei jiang, christian kleinerman, balaji rathakrishnan, gideon schaller, beysim sezgin, ramachandran venkatesh, honggang zhang",sigmod conference,2004,3805,1.0
5390972920f70186a0dfacd3,models for web services tansactions,mark little,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,83,53e9b061b7602d9703ac5f97,models for web services transactions,mark c little,sigmod conference,2004,3941,0.7238095238095237
5390972920f70186a0dfacd0,data densification in a relational database system,"abhinav gupta, sankar subramanian, srikanth bellamkonda, tolga bozkaya, nathan folkert, lei sheng, andrew witkowski",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,84,53e9bad7b7602d9704705965,data densification in a relational database system,"abhinav gupta, sankar subramanian, srikanth bellamkonda, tolga bozkaya, nathan folkert, lei sheng, andrew witkowski",sigmod conference,2004,4943,1.0
5390972920f70186a0dfacce,query processing for sql updates,"césar a galindolegaria, stefano stefani, florian waas",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,85,53e9acfdb7602d97036d9a2b,query processing for sql updates,"césar a galindolegaria, stefano stefani, florian waas",sigmod conference,2004,4382,1.0
5390972920f70186a0dfacb8,secure xml querying with security views,"wenfei fan, cheeyong chan, minos garofalakis",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,86,53e9ae2eb7602d9703842dff,secure xml querying with security views,"wenfei fan, chee yong chan, minos n garofalakis",sigmod conference,2004,4338,0.9533333333333333
