paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,key,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,common_authors,num_authors_df1,num_authors_df2,similarity_score,ID
5390972920f70186a0dfaca0,online maintenance of very large random samples,"christopher jermaine, abhijit pol, subramanian arumugam",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,13,1,53e9afbab7602d9703a07647,online maintenance of very large random samples,"chris jermaine, abhijit pol, subramanian arumugam",sigmod conference,2004,4680,"{'abhijit pol', 'subramanian arumugam'}",3,3,0.9555555555555555,5390972920f70186a0dfaca053e9afbab7602d9703a07647online maintenance of very large random samplesonline maintenance of very large random samples
5390972920f70186a0dfaca5,integrating vertical and horizontal partitioning into automated physical database design,"sanjay agrawal, vivek narasayya, beverly yang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,14,1,53e9af40b7602d970397d55a,integrating vertical and horizontal partitioning into automated physical database design,"sanjay agrawal, vivek r narasayya, beverly yang",sigmod conference,2004,3811,"{'beverly yang', 'sanjay agrawal'}",3,3,0.9869565217391304,5390972920f70186a0dfaca553e9af40b7602d970397d55aintegrating vertical and horizontal partitioning into automated physical database designintegrating vertical and horizontal partitioning into automated physical database design
5390972920f70186a0dfaca1,conditional selectivity for statistics on query expressions,"nicolas bruno, surajit chaudhuri",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,16,1,53e99ebdb7602d9702783702,conditional selectivity for statistics on query expressions,"nicolas bruno, surajit chaudhuri",sigmod conference,2004,4088,"{'nicolas bruno', 'surajit chaudhuri'}",2,2,1.0,5390972920f70186a0dfaca153e99ebdb7602d9702783702conditional selectivity for statistics on query expressionsconditional selectivity for statistics on query expressions
5390972920f70186a0dfaca1,conditional selectivity for statistics on query expressions,"nicolas bruno, surajit chaudhuri",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,16,1,53e9b30ab7602d9703dd20e6,exploiting statistics on query expressions for optimization,"nicolas bruno, surajit chaudhuri",sigmod conference,2002,4612,"{'nicolas bruno', 'surajit chaudhuri'}",2,2,0.6888888888888889,5390972920f70186a0dfaca153e9b30ab7602d9703dd20e6conditional selectivity for statistics on query expressionsexploiting statistics on query expressions for optimization
5390972920f70186a0dfacad,computing clusters of correlation connected objects,"christian böhm, karin kailing, peer kröger, arthur zimek",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,17,1,53e9a455b7602d9702d724e6,computing clusters of correlation connected objects,"christian böhm, karin kailing, peer kröger, arthur zimek",sigmod conference,2004,4354,"{'karin kailing', 'peer kröger', 'christian böhm', 'arthur zimek'}",4,4,1.0,5390972920f70186a0dfacad53e9a455b7602d9702d724e6computing clusters of correlation connected objectscomputing clusters of correlation connected objects
5390972920f70186a0dfaca2,transaction support for indexed summary views,"goetz graefe, michael zwilling",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,18,1,53e9b5f3b7602d9704146102,transaction support for indexed views,"goetz graefe, michael j zwilling",sigmod conference,2004,3804,{'goetz graefe'},2,2,0.863978494623656,5390972920f70186a0dfaca253e9b5f3b7602d9704146102transaction support for indexed summary viewstransaction support for indexed views
5390972920f70186a0dfac99,fast computation of database operations using graphics processors,"naga k govindaraju, brandon lloyd, wei wang, ming lin, dinesh manocha",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,19,1,53e9b93eb7602d9704527141,fast computation of database operations using graphics processors,"naga k govindaraju, brandon lloyd, wei wang 0010, ming c lin, dinesh manocha",sigmod conference,2004,4350,"{'dinesh manocha', 'naga k govindaraju', 'brandon lloyd'}",5,5,0.9695652173913043,5390972920f70186a0dfac9953e9b93eb7602d9704527141fast computation of database operations using graphics processorsfast computation of database operations using graphics processors
5390972920f70186a0dfac9d,approximate xml query answers,"neoklis polyzotis, minos garofalakis, yannis ioannidis",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,20,1,53e99a57b7602d97022be053,approximate xml query answers,"neoklis polyzotis, minos n garofalakis, yannis e ioannidis",sigmod conference,2004,3623,{'neoklis polyzotis'},3,3,0.982,5390972920f70186a0dfac9d53e99a57b7602d97022be053approximate xml query answersapproximate xml query answers
5390972920f70186a0dfac9e,a bilevel bernoulli scheme for database sampling,"peter j haas, christian könig",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,21,1,53e9b891b7602d9704464f49,a bilevel bernoulli scheme for database sampling,"peter j haas, christian koenig",sigmod conference,2004,3802,{'peter j haas'},2,2,0.9363636363636363,5390972920f70186a0dfac9e53e9b891b7602d9704464f49a bilevel bernoulli scheme for database samplinga bilevel bernoulli scheme for database sampling
5390972920f70186a0dfac92,"identifying similarities, periodicities and bursts for online search queries","michail vlachos, christopher meek, zografoula vagena, dimitrios gunopulos",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,22,1,53e9af0cb7602d9703940b40,"identifying similarities, periodicities and bursts for online search queries","michail vlachos, christopher meek, zografoula vagena, dimitrios gunopulos",sigmod conference,2004,3245,"{'michail vlachos', 'dimitrios gunopulos', 'christopher meek', 'zografoula vagena'}",4,4,1.0,"5390972920f70186a0dfac9253e9af0cb7602d9703940b40identifying similarities, periodicities and bursts for online search queriesidentifying similarities, periodicities and bursts for online search queries"
5390972920f70186a0dfac98,rankaware query optimization,"ihab f ilyas, rahul shah, walid g aref, jeffrey scott vitter, ahmed k elmagarmid",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,23,1,53e99b04b7602d970239433b,rankaware query optimization,"ihab f ilyas, rahul shah, walid g aref, jeffrey scott vitter, ahmed k elmagarmid",sigmod conference,2004,4132,"{'ahmed k elmagarmid', 'ihab f ilyas', 'jeffrey scott vitter', 'walid g aref', 'rahul shah'}",5,5,1.0,5390972920f70186a0dfac9853e99b04b7602d970239433brankaware query optimizationrankaware query optimization
5390972920f70186a0dfac9b,data stream management for historical xml data,"sujoe bose, leonidas fegaras",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,24,1,53e9be2eb7602d9704ae9d64,data stream management for historical xml data,"sujoe bose, leonidas fegaras",sigmod conference,2004,4949,"{'leonidas fegaras', 'sujoe bose'}",2,2,1.0,5390972920f70186a0dfac9b53e9be2eb7602d9704ae9d64data stream management for historical xml datadata stream management for historical xml data
5390972920f70186a0dfacb3,compressing historical information in sensor networks,"antonios deligiannakis, yannis kotidis, nick roussopoulos",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,25,1,53e9a675b7602d9702fa8dac,compressing historical information in sensor networks,"antonios deligiannakis, yannis kotidis, nick roussopoulos",sigmod conference,2004,3432,"{'nick roussopoulos', 'yannis kotidis', 'antonios deligiannakis'}",3,3,1.0,5390972920f70186a0dfacb353e9a675b7602d9702fa8daccompressing historical information in sensor networkscompressing historical information in sensor networks
5390972920f70186a0dfaca7,imap discovering complex semantic matches between database schemas,"robin dhamankar, yoonkyong lee, anhai doan, alon halevy, pedro domingos",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,27,1,53e99c36b7602d97024e419a,imap discovering complex mappings between database schemas,"robin dhamankar, yoonkyong lee, anhai doan, alon y halevy, pedro domingos",sigmod conference,2004,4105,"{'robin dhamankar', 'yoonkyong lee', 'anhai doan', 'pedro domingos'}",5,5,0.762051282051282,5390972920f70186a0dfaca753e99c36b7602d97024e419aimap discovering complex semantic matches between database schemasimap discovering complex mappings between database schemas
5390972920f70186a0dfacb5,extending query rewriting techniques for finegrained access control,"shariq rizvi, alberto mendelzon, s sudarshan, prasan roy",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,28,1,53e9ac95b7602d970366bbc7,extending query rewriting techniques for finegrained access control,"shariq rizvi, alberto o mendelzon, s sudarshan 0001, prasan roy",sigmod conference,2004,4387,"{'prasan roy', 'shariq rizvi'}",4,4,0.9624999999999999,5390972920f70186a0dfacb553e9ac95b7602d970366bbc7extending query rewriting techniques for finegrained access controlextending query rewriting techniques for finegrained access control
5390972920f70186a0dfacb4,efficient query reformulation in peer data management systems,"igor tatarinov, alon halevy",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,29,1,53e99976b7602d97021b87f6,efficient query reformulation in peerdata management systems,"igor tatarinov, alon y halevy",sigmod conference,2004,3948,{'igor tatarinov'},2,2,0.7459770114942528,5390972920f70186a0dfacb453e99976b7602d97021b87f6efficient query reformulation in peer data management systemsefficient query reformulation in peerdata management systems
5390972920f70186a0dfacc1,approximation techniques for spatial data,"abhinandan das, johannes gehrke, mirek riedewald",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,30,1,53e9ab65b7602d9703502570,approximation techniques for spatial data,"abhinandan das, johannes gehrke, mirek riedewald",sigmod conference,2004,4665,"{'abhinandan das', 'mirek riedewald', 'johannes gehrke'}",3,3,1.0,5390972920f70186a0dfacc153e9ab65b7602d9703502570approximation techniques for spatial dataapproximation techniques for spatial data
5390972920f70186a0dfacb9,indexing spatiotemporal trajectories with chebyshev polynomials,"yuhan cai, raymond ng",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,31,1,53e9b0d8b7602d9703b5234e,indexing spatiotemporal trajectories with chebyshev polynomials,"yuhan cai, raymond t ng",sigmod conference,2004,4341,{'yuhan cai'},2,2,0.9739130434782608,5390972920f70186a0dfacb953e9b0d8b7602d9703b5234eindexing spatiotemporal trajectories with chebyshev polynomialsindexing spatiotemporal trajectories with chebyshev polynomials
5390972920f70186a0dfacc3,toss an extension of tax with ontologies and similarity queries,"edward hung, yu deng, v s subrahmanian",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,32,1,53e9bcd9b7602d970495d880,toss an extension of tax with ontologies and similarity queries,"edward hung, yu deng, v s subrahmanian",sigmod conference,2004,4348,"{'yu deng', 'edward hung', 'v s subrahmanian'}",3,3,1.0,5390972920f70186a0dfacc353e9bcd9b7602d970495d880toss an extension of tax with ontologies and similarity queriestoss an extension of tax with ontologies and similarity queries
5390972920f70186a0dfacc2,spatiallydecaying aggregation over a network model and algorithms,"edith cohen, haim kaplan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,33,1,53e9b4a5b7602d9703fb482d,spatiallydecaying aggregation over a network model and algorithms,"edith cohen, haim kaplan",sigmod conference,2004,4110,"{'haim kaplan', 'edith cohen'}",2,2,1.0,5390972920f70186a0dfacc253e9b4a5b7602d9703fb482dspatiallydecaying aggregation over a network model and algorithmsspatiallydecaying aggregation over a network model and algorithms
5390972920f70186a0dfac97,buffering databse operations for enhanced instruction cache performance,"jingren zhou, kenneth a ross",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,34,1,53e9ae63b7602d970387e5fb,buffering database operations for enhanced instruction cache performance,"jingren zhou, kenneth a ross",sigmod conference,2004,3645,"{'kenneth a ross', 'jingren zhou'}",2,2,0.8444444444444443,5390972920f70186a0dfac9753e9ae63b7602d970387e5fbbuffering databse operations for enhanced instruction cache performancebuffering database operations for enhanced instruction cache performance
5390972920f70186a0dfacb6,order preserving encryption for numeric data,"rakesh agrawal, jerry kiernan, ramakrishnan srikant, yirong xu",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,35,1,53e9b11db7602d9703b9ab51,orderpreserving encryption for numeric data,"rakesh agrawal, jerry kiernan, ramakrishnan srikant, yirong xu",sigmod conference,2004,4340,"{'rakesh agrawal', 'ramakrishnan srikant', 'yirong xu', 'jerry kiernan'}",4,4,0.7,5390972920f70186a0dfacb653e9b11db7602d9703b9ab51order preserving encryption for numeric dataorderpreserving encryption for numeric data
5390972920f70186a0dfac94,diamond in the rough finding hierarchical heavy hitters in multidimensional data,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,36,1,53e9a6f5b7602d97030287a5,diamond in the rough finding hierarchical heavy hitters in multidimensional data,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",sigmod conference,2004,3929,"{'divesh srivastava', 'graham cormode', 'flip korn', 's muthukrishnan'}",4,4,1.0,5390972920f70186a0dfac9453e9a6f5b7602d97030287a5diamond in the rough finding hierarchical heavy hitters in multidimensional datadiamond in the rough finding hierarchical heavy hitters in multidimensional data
5390972920f70186a0dfac94,diamond in the rough finding hierarchical heavy hitters in multidimensional data,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,36,1,53e9aebcb7602d97038e2a4e,finding hierarchical heavy hitters in data streams,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",vldb,2003,4739,"{'divesh srivastava', 'graham cormode', 'flip korn', 's muthukrishnan'}",4,4,0.6818181818181818,5390972920f70186a0dfac9453e9aebcb7602d97038e2a4ediamond in the rough finding hierarchical heavy hitters in multidimensional datafinding hierarchical heavy hitters in data streams
5390972920f70186a0dfac90,understanding web query interfaces besteffort parsing with hidden syntax,"zhen zhang, bin he, kevin chenchuan chang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,37,1,53e9adb6b7602d97037b6b56,understanding web query interfaces besteffort parsing with hidden syntax,"zhen zhang, bin he, kevin chenchuan chang",sigmod conference,2004,4663,"{'bin he', 'kevin chenchuan chang', 'zhen zhang'}",3,3,1.0,5390972920f70186a0dfac9053e9adb6b7602d97037b6b56understanding web query interfaces besteffort parsing with hidden syntaxunderstanding web query interfaces besteffort parsing with hidden syntax
5390972920f70186a0dfacc6,automatic categorization of query results,"kaushik chakrabarti, surajit chaudhuri, seungwon hwang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,38,1,53e9ab13b7602d970349777a,automatic categorization of query results,"kaushik chakrabarti, surajit chaudhuri, seungwon hwang",sigmod conference,2004,4595,"{'kaushik chakrabarti', 'surajit chaudhuri', 'seungwon hwang'}",3,3,1.0,5390972920f70186a0dfacc653e9ab13b7602d970349777aautomatic categorization of query resultsautomatic categorization of query results
5390972920f70186a0dfac96,optimization of query streams using semantic prefetching,"ivan t bowman, kenneth salem",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,39,1,53e9ac82b7602d970365667d,optimization of query streams using semantic prefetching,"ivan t bowman, kenneth salem",sigmod conference,2004,4328,"{'ivan t bowman', 'kenneth salem'}",2,2,1.0,5390972920f70186a0dfac9653e9ac82b7602d970365667doptimization of query streams using semantic prefetchingoptimization of query streams using semantic prefetching
5390972920f70186a0dfac95,costbased labeling of groups of mass spectra,"lei chen, zheng huang, raghu ramakrishnan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,40,1,53e99ad0b7602d97023502b2,costbased labeling of groups of mass spectra,"lei chen 0003, zheng huang, raghu ramakrishnan",sigmod conference,2004,4902,"{'raghu ramakrishnan', 'zheng huang'}",3,3,0.9634146341463414,5390972920f70186a0dfac9553e99ad0b7602d97023502b2costbased labeling of groups of mass spectracostbased labeling of groups of mass spectra
5390972920f70186a0dfacc9,toward a progress indicator for database queries,"gang luo, jeffrey f naughton, curt j ellmann, michael w watzke",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,41,1,53e9b7c7b7602d9704374e05,toward a progress indicator for database queries,"gang luo, jeffrey f naughton, curt j ellmann, michael watzke",sigmod conference,2004,4671,"{'jeffrey f naughton', 'gang luo', 'curt j ellmann'}",4,4,0.9948275862068965,5390972920f70186a0dfacc953e9b7c7b7602d9704374e05toward a progress indicator for database queriestoward a progress indicator for database queries
5390972920f70186a0dfaccd,query sampling in db2 universal database,"jarek gryz, junjie guo, linqi liu, calisto zuzarte",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,42,1,53e9b31bb7602d9703de35ca,query sampling in db2 universal database,"jarek gryz, junjie guo, linqi liu, calisto zuzarte",sigmod conference,2004,4601,"{'calisto zuzarte', 'junjie guo', 'jarek gryz', 'linqi liu'}",4,4,1.0,5390972920f70186a0dfaccd53e9b31bb7602d9703de35caquery sampling in db2 universal databasequery sampling in db2 universal database
5390972920f70186a0dfacc8,on the integration of structure indexes and inverted lists,"raghav kaushik, rajasekar krishnamurthy, jeffrey f naughton, raghu ramakrishnan",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,43,1,53e9b275b7602d9703d18778,on the integration of structure indexes and inverted lists,"raghav kaushik, rajasekar krishnamurthy, jeffrey f naughton, raghu ramakrishnan",sigmod conference,2004,4846,"{'jeffrey f naughton', 'raghu ramakrishnan', 'rajasekar krishnamurthy', 'raghav kaushik'}",4,4,1.0,5390972920f70186a0dfacc853e9b275b7602d9703d18778on the integration of structure indexes and inverted listson the integration of structure indexes and inverted lists
5390972920f70186a0dfacca,estimating progress of execution for sql queries,"surajit chaudhuri, vivek narasayya, ravishankar ramamurthy",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,44,1,53e9b84ab7602d970440e66e,estimating progress of long running sql queries,"surajit chaudhuri, vivek r narasayya, ravishankar ramamurthy",sigmod conference,2004,3446,"{'ravishankar ramamurthy', 'surajit chaudhuri'}",3,3,0.683531746031746,5390972920f70186a0dfacca53e9b84ab7602d970440e66eestimating progress of execution for sql queriesestimating progress of long running sql queries
5390972920f70186a0dfacc7,when one sample is not enough improving text database selection using shrinkage,"panagiotis g ipeirotis, luis gravano",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,45,1,53e99bdcb7602d970248525b,when one sample is not enough improving text database selection using shrinkage,"panagiotis g ipeirotis, luis gravano",sigmod conference,2004,4675,"{'luis gravano', 'panagiotis g ipeirotis'}",2,2,1.0,5390972920f70186a0dfacc753e99bdcb7602d970248525bwhen one sample is not enough improving text database selection using shrinkagewhen one sample is not enough improving text database selection using shrinkage
5390972920f70186a0dfacc4,informationtheoretic tools for mining database structure from large data sets,"periklis andritsos, renée j miller, panayiotis tsaparas",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,46,1,53e9a40eb7602d9702d26751,informationtheoretic tools for mining database structure from large data sets,"periklis andritsos, renée j miller, panayiotis tsaparas",sigmod conference,2004,3918,"{'renée j miller', 'periklis andritsos', 'panayiotis tsaparas'}",3,3,1.0,5390972920f70186a0dfacc453e9a40eb7602d9702d26751informationtheoretic tools for mining database structure from large data setsinformationtheoretic tools for mining database structure from large data sets
5390972920f70186a0dfacd2,vertical and horizontal percentage aggregations,carlos ordonez,sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,47,1,53e9b40eb7602d9703f06558,vertical and horizontal percentage aggregations,carlos ordonez,sigmod conference,2004,3633,{'carlos ordonez'},1,1,1.0,5390972920f70186a0dfacd253e9b40eb7602d9703f06558vertical and horizontal percentage aggregationsvertical and horizontal percentage aggregations
5390972920f70186a0dfac8b,blas an efficient xpath processing system,"yi chen, susan b davidson, yifeng zheng",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,48,1,53e9b923b7602d970450eb39,blas an efficient xpath processing system,"yi chen 0001, susan b davidson, yifeng zheng",sigmod conference,2004,3431,"{'susan b davidson', 'yifeng zheng'}",3,3,0.9605263157894737,5390972920f70186a0dfac8b53e9b923b7602d970450eb39blas an efficient xpath processing systemblas an efficient xpath processing system
5390972920f70186a0dfac93,farmer finding interesting rule groups in microarray datasets,"gao cong, anthony k h tung, xin xu, feng pan, jiong yang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,49,1,53e9b0abb7602d9703b15178,farmer finding interesting rule groups in microarray datasets,"gao cong, anthony k h tung, xin xu, feng pan, jiong yang",sigmod conference,2004,4218,"{'jiong yang', 'gao cong', 'xin xu', 'feng pan', 'anthony k h tung'}",5,5,1.0,5390972920f70186a0dfac9353e9b0abb7602d9703b15178farmer finding interesting rule groups in microarray datasetsfarmer finding interesting rule groups in microarray datasets
5390972920f70186a0dfac8c,efficient processing of xml twig queries with orpredicates,"haifeng jiang, hongjun lu, wei wang",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,50,1,53e9b6eeb7602d9704284661,efficient processing of twig queries with orpredicates,"haifeng jiang, hongjun lu, wei wang 0011",sigmod conference,2004,4611,"{'haifeng jiang', 'hongjun lu'}",3,3,0.8683823529411764,5390972920f70186a0dfac8c53e9b6eeb7602d9704284661efficient processing of xml twig queries with orpredicatesefficient processing of twig queries with orpredicates
