paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,bucket_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,bucket_df2,similarity_score,ID
53909f8c20f70186a0e3fe38,efficient processing of expressive nodeselecting queries on xml data in secondary storage a tree automatabased approach,christoph koch,vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b4eeb7602d97040169ec,efficient processing of expressive nodeselecting queries on xml data in secondary storage a tree automatabased approach,christoph koch,vldb,2003,0,1.0,53909f8c20f70186a0e3fe3853e9b4eeb7602d97040169ec
53909f8c20f70186a0e3fe31,covering indexes for xml queries bisimulation  simulation  negation,prakash ramanan,vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e99e6ab7602d9702732379,covering indexes for xml queries bisimulation  simulation  negation,prakash ramanan,vldb,2003,0,1.0,53909f8c20f70186a0e3fe3153e99e6ab7602d9702732379
53909f8c20f70186a0e3fe39,query processing for highvolume xml message brokering,"yanlei diao, michael franklin",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a554b7602d9702e78ba8,query processing for highvolume xml message brokering,"yanlei diao, michael j franklin",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3953e9a554b7602d9702e78ba8
53909f8c20f70186a0e3fe37,from tree patterns to generalized tree patterns on efficient evaluation of xquery,"zhimin chen, h v jagadish, laks v s lakshmanan, stelios paparizos",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b31bb7602d9703de681c,from tree patterns to generalized tree patterns on efficient evaluation of xquery,"zhimin chen, h v jagadish, laks v s lakshmanan, stelios paparizos",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3753e9b31bb7602d9703de681c
53909f8c20f70186a0e3fe43,vipas virtual link powered authority search in the web,"chichun lin, mingsyan chen",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b873b7602d9704443753,vipas virtual link powered authority search in the web,"chichun lin, mingsyan chen",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4353e9b873b7602d9704443753
53909f8c20f70186a0e3fe3c,scheduling for shared window joins over data streams,"moustafa a hammad, michael j franklin, walid g aref, ahmed k elmagarmid",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a5a1b7602d9702ecb457,scheduling for shared window joins over data streams,"moustafa a hammad, michael j franklin, walid g aref, ahmed k elmagarmid",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3c53e9a5a1b7602d9702ecb457
53909f8c20f70186a0e3fe3b,maximizing the output rate of multiway join queries over streaming information sources,"stratis d viglas, jeffrey f naughton, josef burger",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b500b7602d970402f387,maximizing the output rate of multiway join queries over streaming information sources,"stratis viglas, jeffrey f naughton, josef burger",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3b53e9b500b7602d970402f387
53909f8c20f70186a0e3fe44,balancing performance and data freshness in web database servers,"alexandros labrinidis, nick roussopoulos",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b20cb7602d9703ca4d3d,balancing performance and data freshness in web database servers,"alexandros labrinidis, nick roussopoulos",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4453e9b20cb7602d9703ca4d3d
53909f8c20f70186a0e3fe49,data bubbles for nonvector data speedingup hierarchical clustering in arbitrary metric spaces,"jianjun zhou, jörg sander",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9aa2bb7602d9703397ef0,data bubbles for nonvector data speedingup hierarchical clustering in arbitrary metric spaces,"jianjun zhou, jörg sander",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4953e9aa2bb7602d9703397ef0
53909f8c20f70186a0e3fe48,a shrinkingbased approach for multidimensional data analysis,"yong shi, yuqing song, aidong zhang",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9af07b7602d970393f7f4,a shrinkingbased approach for multidimensional data analysis,"yong shi, yuqing song, aidong zhang",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4853e9af07b7602d970393f7f4
53909f8c20f70186a0e3fe47,combioperator  database support for data mining applications,"alexander hinneburg, dirk habich, wolfgang lehner",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e99c60b7602d970250fbc7,combioperator database support for data mining applications,"alexander hinneburg, wolfgang lehner, dirk habich",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4753e99c60b7602d970250fbc7
53909f8c20f70186a0e3fe46,"data morphing an adaptive, cacheconscious storage technique","richard a hankins, jignesh m patel",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a178b7602d9702a6b83c,"data morphing an adaptive, cacheconscious storage technique","richard a hankins, jignesh m patel",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4653e9a178b7602d9702a6b83c
53909f8c20f70186a0e3fe25,the history of histograms abridged,yannis ioannidis,vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b5c2b7602d970410f5a3,the history of histograms abridged,yannis e ioannidis,vldb,2003,0,1.0,53909f8c20f70186a0e3fe2553e9b5c2b7602d970410f5a3
53909f8c20f70186a0e3fe3f,tuple routing strategies for distributed eddies,"feng tian, david j dewitt",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a51cb7602d9702e3c359,tuple routing strategies for distributed eddies,"feng tian, david j dewitt",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3f53e9a51cb7602d9702e3c359
53909f8c20f70186a0e3fe51,systematic development of data miningbased data quality tools,"dominik luebbers, udo grimmer, matthias jarke",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9af13b7602d970394e3f3,systematic development of data miningbased data quality tools,"dominik lübbers, udo grimmer, matthias jarke",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5153e9af13b7602d970394e3f3
53909f8c20f70186a0e3fe3d,load shedding in a data stream manager,"nesime tatbul, uğur çetintemel, stan zdonik, mitch cherniack, michael stonebraker",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b444b7602d9703f420f1,load shedding in a data stream manager,"nesime tatbul, ugur çetintemel, stanley b zdonik, mitch cherniack, michael stonebraker",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3d53e9b444b7602d9703f420f1
53909f8c20f70186a0e3fe2a,a framework for clustering evolving data streams,"charu c aggarwal, jiawei han, jianyong wang, philip s yu",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a85cb7602d97031a708b,a framework for clustering evolving data streams,"charu c aggarwal, jiawei han, jianyong wang, philip s yu",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2a53e9a85cb7602d97031a708b
53909f8c20f70186a0e3fe4b,starcubing computing iceberg cubes by topdown and bottomup integration,"dong xin, jiawei han, xiaolei li, benjamin w wah",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e998cdb7602d9702105a86,starcubing computing iceberg cubes by topdown and bottomup integration,"dong xin, jiawei han, xiaolei li, benjamin w wah",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4b53e998cdb7602d9702105a86
53909f8c20f70186a0e3fe4a,finding hierarchical heavy hitters in data streams,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9aebcb7602d97038e2a4e,finding hierarchical heavy hitters in data streams,"graham cormode, flip korn, s muthukrishnan, divesh srivastava",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4a53e9aebcb7602d97038e2a4e
53909f8c20f70186a0e3fe3e,querying the internet with pier,"ryan huebsch, joseph m hellerstein, nick lanham, boon thau loo, scott shenker, ion stoica",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9ace9b7602d97036c80bb,querying the internet with pier,"ryan huebsch, joseph m hellerstein, nick lanham, boon thau loo, scott shenker, ion stoica",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3e53e9ace9b7602d97036c80bb
53909f8c20f70186a0e3fe52,"adaptive, handsoff stream mining","spiros papadimitriou, anthony brockwell, christos faloutsos",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9aafab7602d970347fcab,"adaptive, handsoff stream mining","spiros papadimitriou, anthony brockwell, christos faloutsos",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5253e9aafab7602d970347fcab
53909f8c20f70186a0e3fe4e,continuous knearest neighbor queries for continuously moving points with updates,"glenn s iwerks, hanan samet, ken smith",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9aa49b7602d97033b810e,continuous knearest neighbor queries for continuously moving points with updates,"glenn s iwerks, hanan samet, kenneth p smith",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4e53e9aa49b7602d97033b810e
53909f8c20f70186a0e3fe53,composing mappings among data sources,"jayant madhavan, alon y halevy",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9ac62b7602d97036346d9,composing mappings among data sources,"jayant madhavan, alon y halevy",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5353e9ac62b7602d97036346d9
53909f8c20f70186a0e3fe4d,processing sliding window multijoins in continuous queries over data streams,"lukasz golab, m tamer özsu",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a178b7602d9702a6c09d,processing sliding window multijoins in continuous queries over data streams,"lukasz golab, m tamer özsu",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4d53e9a178b7602d9702a6c09d
53909f8c20f70186a0e3fe4f,staircase join teach a relational dbms to watch its axis steps,"torsten grust, maurice van keulen, jens teubner",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a13fb7602d9702a33280,staircase join teach a relational dbms to watch its axis steps,"torsten grust, maurice van keulen, jens teubner",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4f53e9a13fb7602d9702a33280
53909f8c20f70186a0e3fe3a,holistic twig joins on indexed xml documents,"haifeng jiang, wei wang, hongjun lu, jeffrey xu yu",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a813b7602d97031594e3,holistic twig joins on indexed xml documents,"haifeng jiang, wei wang 0011, hongjun lu, jeffrey xu yu",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3a53e9a813b7602d97031594e3
53909f8c20f70186a0e3fe50,checks and balances monitoring data quality problems in network traffic databases,"flip korn, s muthukrishnan, yunyue zhu",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b15ab7602d9703be095d,checks and balances monitoring data quality problems in network traffic databases,"flip korn, s muthukrishnan, yunyue zhu",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5053e9b15ab7602d9703be095d
53909f8c20f70186a0e3fe4c,coarsegrained optimization techniques for rewriting sql statement sequences,"tobias kraft, holger schwarz, ralf rantzau, bernhard mitschang",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9aa50b7602d97033c1230,coarsegrained optimization techniques for rewriting sql statement sequences,"tobias kraft, holger schwarz, ralf rantzau, bernhard mitschang",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4c53e9aa50b7602d97033c1230
53909f8c20f70186a0e3fe41,wiseintegrator an automatic integrator of web search interfaces for ecommerce,"hai he, weiyi meng, clement yu, zonghuan wu",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a689b7602d9702fbae9b,wiseintegrator an automatic integrator of web search interfaces for ecommerce,"hai he, weiyi meng, clement t yu, zonghuan wu",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4153e9a689b7602d9702fbae9b
53909f8c20f70186a0e3fe35,projecting xml documents,"amélie marian, jérôme siméon",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e99832b7602d9702056c3d,projecting xml documents,"amélie marian, jérôme siméon",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3553e99832b7602d9702056c3d
53909f8c20f70186a0e3fe45,buffering accesses to memoryresident index structures,"jingren zhou, kenneth a ross",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b768b7602d970430e1a3,buffering accesses to memoryresident index structures,"jingren zhou, kenneth a ross",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4553e9b768b7602d970430e1a3
53909f8c20f70186a0e3fe42,sash a selfadaptive histogram set for dynamically changing workloads,"lipyeow lim, min wang, jeffrey scott vitter",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a76db7602d97030a6a12,sash a selfadaptive histogram set for dynamically changing workloads,"lipyeow lim, min wang, jeffrey scott vitter",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4253e9a76db7602d97030a6a12
53909f8c20f70186a0e3fe27,xsearch a semantic search engine for xml,"sara cohen, jonathan mamou, yaron kanza, yehoshua sagiv",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e99d28b7602d97025df472,xsearch a semantic search engine for xml,"sara cohen, jonathan mamou, yaron kanza, yehoshua sagiv",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2753e99d28b7602d97025df472
53909f8c20f70186a0e3fe34,mars a system for publishing xml from mixed and redundant storage,"alin deutsch, val tannen",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a825b7602d970316fa4c,mars a system for publishing xml from mixed and redundant storage,"alin deutsch, val tannen",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3453e9a825b7602d970316fa4c
53909f8c20f70186a0e3fe40,"aquery query language for ordered data, optimization techniques, and experiments","alberto lerner, dennis shasha",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e997e4b7602d9701fdbae1,"aquery query language for ordered data, optimization techniques, and experiments","alberto lerner, dennis shasha",vldb,2003,0,1.0,53909f8c20f70186a0e3fe4053e997e4b7602d9701fdbae1
53909f8c20f70186a0e3fe2e,optimized query execution in large search engines with global page ordering,"xiaohui long, torsten suel",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9aa16b7602d9703384d4e,optimized query execution in large search engines with global page ordering,"xiaohui long, torsten suel",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2e53e9aa16b7602d9703384d4e
53909f8c20f70186a0e3fe36,mixed mode xml query processing,"alan halverson, josef burger, leonidas galanis, ameet kini, rajasekar krishnamurthy, ajith nagaraja rao, feng tian, stratis d viglas, yuan wang, jeffrey f naughton, david j dewitt",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b043b7602d9703aa66c2,mixed mode xml query processing,"alan halverson, josef burger, leonidas galanis, ameet kini, rajasekar krishnamurthy, ajith nagaraja rao, feng tian, stratis viglas, yuan wang, jeffrey f naughton, david j dewitt",vldb,2003,0,1.0,53909f8c20f70186a0e3fe3653e9b043b7602d9703aa66c2
53909f8c20f70186a0e3fe2f,path queries on compressed xml,"peter buneman, martin grohe, christoph koch",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9aec4b7602d97038eab1c,path queries on compressed xml,"peter buneman, martin grohe, christoph koch",vldb,2003,0,1.0,53909f8c20f70186a0e3fe2f53e9aec4b7602d97038eab1c
53909f8c20f70186a0e3fe59,the generalized pregrouping transformation aggregatequery optimization in the presence of dependencies,"aris tsois, timos sellis",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a603b7602d9702f2ec69,the generalized pregrouping transformation aggregatequery optimization in the presence of dependencies,"aris tsois, timos k sellis",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5953e9a603b7602d9702f2ec69
53909f8c20f70186a0e3fe5c,tabular placement of relational data on memsbased storage devices,"hailing yu, divyakant agrawal, amr el abbadi",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a797b7602d97030cf9a4,tabular placement of relational data on memsbased storage devices,"hailing yu, divyakant agrawal, amr el abbadi",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5c53e9a797b7602d97030cf9a4
53909f8c20f70186a0e3fe5d,memory requirements for query execution in highly constrained devices,"nicolas anciaux, luc bouganim, philippe pucheral",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9adaab7602d97037a8db4,memory requirements for query execution in highly constrained devices,"nicolas anciaux, luc bouganim, philippe pucheral",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5d53e9adaab7602d97037a8db4
53909f8c20f70186a0e3fe58,temporal slicing in the evaluation of xml queries,"dengfeng gao, richard t snodgrass",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b443b7602d9703f3e6ee,temporal slicing in the evaluation of xml queries,"dengfeng gao, richard t snodgrass",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5853e9b443b7602d9703f3e6ee
53909f8c20f70186a0e3fe5b,bhunt automatic discovery of fuzzy algebraic constraints in relational data,"paul g brown, peter j hass",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9adffb7602d9703805c56,bhunt automatic discovery of fuzzy algebraic constraints in relational data,"paul brown, peter j haas",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5b53e9adffb7602d9703805c56
53909f8c20f70186a0e3fe63,anipqo almost nonintrusive parametric query optimization for nonlinear cost functions,"arvind hulgeri, s sudarshan",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9986eb7602d97020ac05e,anipqo almost nonintrusive parametric query optimization for nonlinear cost functions,"arvind hulgeri, s sudarshan 0001",vldb,2003,0,1.0,53909f8c20f70186a0e3fe6353e9986eb7602d97020ac05e
53909f8c20f70186a0e3fe54,mapping adaptation under evolving schemas,"yannis velegrakis, renée j miller, lucian popa",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9af46b7602d970398382f,mapping adaptation under evolving schemas,"yannis velegrakis, renée j miller, lucian popa",vldb,2003,0,1.0,53909f8c20f70186a0e3fe5453e9af46b7602d970398382f
53909f8c20f70186a0e3fe64,efficient approximation of optimization queries under parametric aggregation constraints,"sudipto guha, dimitrios gunopoulos, nick koudas, divesh srivastava, michail vlachos",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b641b7602d970419d437,efficient approximation of optimization queries under parametric aggregation constraints,"sudipto guha, dimitrios gunopulos, nick koudas, divesh srivastava, michail vlachos",vldb,2003,0,1.0,53909f8c20f70186a0e3fe6453e9b641b7602d970419d437
53909f8c20f70186a0e3fe6d,robust estimation with sampling and approximate preaggregation,christopher jermaine,vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e99d4bb7602d97026000de,robust estimation with sampling and approximate preaggregation,chris jermaine,vldb,2003,0,1.0,53909f8c20f70186a0e3fe6d53e99d4bb7602d97026000de
53909f8c20f70186a0e3fe6f,oasis an online and accurate technique for localalignment searches on biological sequences,"colin meek, jignesh m patel, shruti kasetty",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a2b2b7602d9702bba0fd,oasis an online and accurate technique for localalignment searches on biological sequences,"colin meek, jignesh m patel, shruti kasetty",vldb,2003,0,1.0,53909f8c20f70186a0e3fe6f53e9a2b2b7602d9702bba0fd
53909f8c20f70186a0e3fe72,improving performance with bulkinserts in oracle rtrees,"ning an, ravi kanth, v kothuri, siva ravada",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9bb9ab7602d97047e2ba2,improving performance with bulkinserts in oracle rtrees,"ning an, kothuri venkata ravi kanth, siva ravada",vldb,2003,0,1.0,53909f8c20f70186a0e3fe7253e9bb9ab7602d97047e2ba2
53909f8c20f70186a0e3fe71,data compression in oracle,"meikel poess, dmitry potapov",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e99a04b7602d970224f8e9,data compression in oracle,"meikel pöss, dmitry potapov",vldb,2003,0,1.0,53909f8c20f70186a0e3fe7153e99a04b7602d970224f8e9
53909f8c20f70186a0e3fe73,statistics on views,"césar a galindolegaria, milind m joshi, florian waas, mingchuan wu",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e99821b7602d970203ea94,statistics on views,"césar a galindolegaria, milind joshi, florian waas, mingchuan wu",vldb,2003,0,1.0,53909f8c20f70186a0e3fe7353e99821b7602d970203ea94
53909f8c20f70186a0e3fe76,capturing global transactions from multiple recovery log files in a partitioned database system,"chengfei liu, bruce g lindsay, serge bourbonnais, elizabeth b hamel, tuong c truong, jens stankiewitz",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b72cb7602d97042c408e,capturing global transactions from multiple recovery log files in a partitioned database system,"chengfei liu, bruce g lindsay 0001, serge bourbonnais, elizabeth hamel, tuong c truong, jens stankiewitz",vldb,2003,0,1.0,53909f8c20f70186a0e3fe7653e9b72cb7602d97042c408e
53909f8c20f70186a0e3fe74,efficient query processing for multidimensionally clustered tables in db2,"bishwaranjan bhattacharjee, sriram padmanabhan, timothy malkemus, tony lai, leslie cranston, matthew huras",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a026b7602d970290b149,efficient query processing for multidimensionally clustered tables in db2,"bishwaranjan bhattacharjee, sriram padmanabhan, timothy malkemus, tony lai, leslie cranston, matthew huras",vldb,2003,0,1.0,53909f8c20f70186a0e3fe7453e9a026b7602d970290b149
53909f8c20f70186a0e3fe70,privacypreserving indexing of documents on the network,"mayank bawa, roberto j bayardo, jr, rakesh agrawal",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a3cdb7602d9702ce25d9,privacypreserving indexing of documents on the network,"mayank bawa, roberto j bayardo jr, rakesh agrawal",vldb,2003,0,1.0,53909f8c20f70186a0e3fe7053e9a3cdb7602d9702ce25d9
53909f8c20f70186a0e3fe7e,a database striptease or how to manage your personal databases,"martin kersten, gerhard weikum, michael franklin, daniel keim, alex buchmann, surajit chaudhuri",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9aa5cb7602d97033c9f05,a database striptease or how to manage your personal databases,"martin l kersten, gerhard weikum, michael j franklin, daniel a keim, alejandro p buchmann, surajit chaudhuri",vldb,2003,0,1.0,53909f8c20f70186a0e3fe7e53e9aa5cb7602d97033c9f05
53909f8c20f70186a0e3fe80,illuminating the dark side of web services,michael l brodie,vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9a34ab7602d9702c5457c,illuminating the dark side of web services,michael l brodie,vldb,2003,0,1.0,53909f8c20f70186a0e3fe8053e9a34ab7602d9702c5457c
53909f8c20f70186a0e3fe6c,locating data sources in large distributed systems,"leonidas galanis, yuan wang, shawn r jeffery, david j dewitt",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9b0c7b7602d9703b3dbb9,locating data sources in large distributed systems,"leonidas galanis, yuan wang, shawn r jeffery, david j dewitt",vldb,2003,0,1.0,53909f8c20f70186a0e3fe6c53e9b0c7b7602d9703b3dbb9
53909f8c20f70186a0e3fe82,orientstore a schema based native xml storage system,"xiaofeng meng, daofeng luo, mong li lee, jing an",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,0,53e9be64b7602d9704b21d64,orientstore a schema based native xml storage system,"xiaofeng meng, daofeng luo, mongli lee, jing an",vldb,2003,0,1.0,53909f8c20f70186a0e3fe8253e9be64b7602d9704b21d64
