paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,Unnamed: 5_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,Unnamed: 5_df2,jaccard_similarity,ID
5390972920f70186a0dfacd3,Models for Web Services tansactions,Mark Little,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,,53e9b061b7602d9703ac5f97,Models for Web Services Transactions.,Mark C. Little,SIGMOD Conference,2004,,0.6666666666666666,5390972920f70186a0dfacd353e9b061b7602d9703ac5f97Models for Web Services tansactionsModels for Web Services Transactions.
5390975920f70186a0dfe096,Best papers of VLDB 2003,"Johann-Christoph Freytag, Serge Abiteboul, Mike Carey",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9aaa3b7602d970341c212,Best papers of VLDB 2003.,"Johann Christoph Freytag, Serge Abiteboul, Michael J. Carey",VLDB J.,2004,,0.6666666666666666,5390975920f70186a0dfe09653e9aaa3b7602d970341c212Best papers of VLDB 2003Best papers of VLDB 2003.
5390975920f70186a0dfe094,Automatic integration of Web search interfaces with WISE-Integrator,"Hai He, Weiyi Meng, Clement Yu, Zonghuan Wu",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9b648b7602d97041a4baa,Automatic integration of Web search interfaces with WISE-Integrator.,"Hai He, Weiyi Meng, Clement T. Yu, Zonghuan Wu",VLDB J.,2004,,0.7777777777777778,5390975920f70186a0dfe09453e9b648b7602d97041a4baaAutomatic integration of Web search interfaces with WISE-IntegratorAutomatic integration of Web search interfaces with WISE-Integrator.
5390975920f70186a0dfe097,"Adaptive, unsupervised stream mining","Spiros Papadimitriou, Anthony Brockwell, Christos Faloutsos",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e99a52b7602d97022ba714,"Adaptive, unsupervised stream mining.","Spiros Papadimitriou, Anthony Brockwell, Christos Faloutsos",VLDB J.,2004,,0.6,"5390975920f70186a0dfe09753e99a52b7602d97022ba714Adaptive, unsupervised stream miningAdaptive, unsupervised stream mining."
5390975920f70186a0dfe095,Supporting top-k join queries in relational databases,"Ihab F. Ilyas, Walid G. Aref, Ahmed K. Elmagarmid",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9afcdb7602d9703a21cb7,Supporting top-k join queries in relational databases.,"Ihab F. Ilyas, Walid G. Aref, Ahmed K. Elmagarmid",VLDB J.,2004,,0.75,5390975920f70186a0dfe09553e9afcdb7602d9703a21cb7Supporting top-k join queries in relational databasesSupporting top-k join queries in relational databases.
5390975920f70186a0dfe099,Preserving mapping consistency under schema changes,"Yannis Velegrakis, J. Miller, Lucian Popa",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e99f18b7602d97027e30cd,Preserving mapping consistency under schema changes.,"Yannis Velegrakis, Renée J. Miller, Lucian Popa",VLDB J.,2004,,0.7142857142857143,5390975920f70186a0dfe09953e99f18b7602d97027e30cdPreserving mapping consistency under schema changesPreserving mapping consistency under schema changes.
5390975920f70186a0dfe098,Exploring the tradeoff between performance and data freshness in database-driven Web servers,"Alexandros Labrinidis, Nick Roussopoulos",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9a101b7602d97029ec4b7,Exploring the tradeoff between performance and data freshness in database-driven Web servers.,"Alexandros Labrinidis, Nick Roussopoulos",VLDB J.,2004,,0.8461538461538461,5390975920f70186a0dfe09853e9a101b7602d97029ec4b7Exploring the tradeoff between performance and data freshness in database-driven Web serversExploring the tradeoff between performance and data freshness in database-driven Web servers.
5390975920f70186a0dfe2bc,"Database tuning principles, experiments, and troubleshooting techniques","Dennis Shasha, Philippe Bonnet, Nancy Hartline Bercich",ACM SIGMOD Record,2004,,53e9be4ab7602d9704b05415,"Database tuning: principles, experiments, and troubleshooting techniques (part I).","Dennis Shasha, Philippe Bonnet",SIGMOD Conference,2002,,0.6,"5390975920f70186a0dfe2bc53e9be4ab7602d9704b05415Database tuning principles, experiments, and troubleshooting techniquesDatabase tuning: principles, experiments, and troubleshooting techniques (part I)."
5390975920f70186a0dfe2bc,"Database tuning principles, experiments, and troubleshooting techniques","Dennis Shasha, Philippe Bonnet, Nancy Hartline Bercich",ACM SIGMOD Record,2004,,53e9be4ab7602d9704b05415,"Database tuning: principles, experiments, and troubleshooting techniques (part II).","Dennis Shasha, Philippe Bonnet",SIGMOD Conference,2002,,0.6,"5390975920f70186a0dfe2bc53e9be4ab7602d9704b05415Database tuning principles, experiments, and troubleshooting techniquesDatabase tuning: principles, experiments, and troubleshooting techniques (part II)."
5390979920f70186a0dff268,The BEA streaming XQuery processor,"Daniela Florescu, Chris Hillery, Donald Kossmann, Paul Lucas, Fabio Riccardi, Till Westmann, J. Carey, Arvind Sundararajan",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9b59ab7602d97040dd25b,The BEA streaming XQuery processor.,"Daniela Florescu, Chris Hillery, Donald Kossmann, Paul Lucas, Fabio Riccardi, Till Westmann, Michael J. Carey, Arvind Sundararajan",VLDB J.,2004,,0.6666666666666666,5390979920f70186a0dff26853e9b59ab7602d97040dd25bThe BEA streaming XQuery processorThe BEA streaming XQuery processor.
5390979920f70186a0e00cd7,Guest Editorial to the special issue on data stream processing,"Johannes Gehrke, M. Hellerstein",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9aa3ab7602d97033a483b,Guest Editorial to the special issue on data stream processing.,"Johannes Gehrke, Joseph M. Hellerstein",VLDB J.,2004,,0.8181818181818182,5390979920f70186a0e00cd753e9aa3ab7602d97033a483bGuest Editorial to the special issue on data stream processingGuest Editorial to the special issue on data stream processing.
5390979920f70186a0e00cd5,Tracking set-expression cardinalities over continuous update streams,"Sumit Ganguly, Minos Garofalakis, Rajeev Rastogi",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9ace2b7602d97036c0862,Tracking set-expression cardinalities over continuous update streams.,"Sumit Ganguly, Minos N. Garofalakis, Rajeev Rastogi",VLDB J.,2004,,0.75,5390979920f70186a0e00cd553e9ace2b7602d97036c0862Tracking set-expression cardinalities over continuous update streamsTracking set-expression cardinalities over continuous update streams.
5390979920f70186a0e00cd6,Balancing energy efficiency and quality of aggregate data in sensor networks,"A. Sharaf, Jonathan Beaver, Alexandros Labrinidis, K. Chrysanthis",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9a603b7602d9702f2e2f1,Balancing energy efficiency and quality of aggregate data in sensor networks.,"Mohamed A. Sharaf, Jonathan Beaver, Alexandros Labrinidis, Panos K. Chrysanthis",VLDB J.,2004,,0.8333333333333334,5390979920f70186a0e00cd653e9a603b7602d9702f2e2f1Balancing energy efficiency and quality of aggregate data in sensor networksBalancing energy efficiency and quality of aggregate data in sensor networks.
5390979920f70186a0e00cd2,Operator scheduling in data stream systems,"Brian Babcock, Shivnath Babu, Mayur Datar, Rajeev Motwani, Dilys Thomas",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9b02fb7602d9703a8a898,Operator scheduling in data stream systems.,"Brian Babcock, Shivnath Babu, Mayur Datar, Rajeev Motwani, Dilys Thomas",VLDB J.,2004,,0.7142857142857143,5390979920f70186a0e00cd253e9b02fb7602d9703a8a898Operator scheduling in data stream systemsOperator scheduling in data stream systems.
5390979920f70186a0e00cd4,Finding hot query patterns over an XQuery stream,"Huai Yang, Li Lee, Wynne Hsu",The VLDB Journal — The International Journal on Very Large Data Bases,2004,,53e9bbc8b7602d9704814149,Finding hot query patterns over an XQuery stream.,"Liang Huai Yang, Mong-Li Lee, Wynne Hsu",VLDB J.,2004,,0.7777777777777778,5390979920f70186a0e00cd453e9bbc8b7602d9704814149Finding hot query patterns over an XQuery streamFinding hot query patterns over an XQuery stream.
5390980720f70186a0e01e39,From semantic integration to semantics management: case studies and a way forward,"Arnon Rosenthal, Len Seligman, Scott Renner",ACM SIGMOD Record,2004,,53e9b98ab7602d970457d0e7,From semantic integration to semantics management: case studies and a way forward.,"Arnon Rosenthal, Leonard J. Seligman, Scott Renner",SIGMOD Record,2004,,0.8461538461538461,5390980720f70186a0e01e3953e9b98ab7602d970457d0e7From semantic integration to semantics management: case studies and a way forwardFrom semantic integration to semantics management: case studies and a way forward.
53909f6920f70186a0e3a987,A case for fractured mirrors,"Ravishankar Ramamurthy, David J. DeWitt, Qi Su",VLDB '02 Proceedings of the 28th international conference on Very Large Data Bases,2002,,53e9ab0eb7602d970349531c,A case for fractured mirrors.,"Ravishankar Ramamurthy, David J. DeWitt, Qi Su",VLDB J.,2003,,0.6666666666666666,53909f6920f70186a0e3a98753e9ab0eb7602d970349531cA case for fractured mirrorsA case for fractured mirrors.
53909f6920f70186a0e3a99a,Fast and accurate text classification via multiple linear discriminant projections,"Soumen Chakrabarti, Shourya Roy, Mahesh V. Soundalgekar",VLDB '02 Proceedings of the 28th international conference on Very Large Data Bases,2002,,53e9a4b2b7602d9702dd2741,Fast and accurate text classification via multiple linear discriminant projections pp.,"Soumen Chakrabarti, Shourya Roy, Mahesh V. Soundalgekar",VLDB J.,2003,,0.9090909090909091,53909f6920f70186a0e3a99a53e9a4b2b7602d9702dd2741Fast and accurate text classification via multiple linear discriminant projectionsFast and accurate text classification via multiple linear discriminant projections pp.
53909f6920f70186a0e3a9b0,Information integration and XML in IBM's DB2,Pat Selinger,VLDB '02 Proceedings of the 28th international conference on Very Large Data Bases,2002,,53e99bcdb7602d9702473ea0,Information Integration and XML in IBM's DB2.,Patricia G. Selinger,VLDB,2002,,0.5555555555555556,53909f6920f70186a0e3a9b053e99bcdb7602d9702473ea0Information integration and XML in IBM's DB2Information Integration and XML in IBM's DB2.
53909f6920f70186a0e3a978,RE-Tree: an efficient index structure for regular expressions,"Chee-Yong Chan, Minos Garofalakis, Rajeev Rastogi",VLDB '02 Proceedings of the 28th international conference on Very Large Data Bases,2002,,53e9b46fb7602d9703f6e2e2,RE-tree: an efficient index structure for regular expressions.,"Chee Yong Chan, Minos N. Garofalakis, Rajeev Rastogi",VLDB J.,2003,,0.6,53909f6920f70186a0e3a97853e9b46fb7602d9703f6e2e2RE-Tree: an efficient index structure for regular expressionsRE-tree: an efficient index structure for regular expressions.
53909f8c20f70186a0e3fe30,On the minimization of Xpath queries,"S. Flesca, F. Furfaro, E. Masciari",VLDB '03 Proceedings of the 29th international conference on Very large data bases - Volume 29,2003,,53e9af94b7602d97039dd19b,On the minimization of Xpath queries.,"Sergio Flesca, Filippo Furfaro, Elio Masciari",VLDB,2003,,0.7142857142857143,53909f8c20f70186a0e3fe3053e9af94b7602d97039dd19bOn the minimization of Xpath queriesOn the minimization of Xpath queries.
53909f8c20f70186a0e3fe32,Phrase Matching in XML,"Sihem Amer-Yahia, Mary Fernández, Divesh Srivastava, Yu Xu",VLDB '03 Proceedings of the 29th international conference on Very large data bases - Volume 29,2003,,53e99b36b7602d97023d297b,Phrase Matching in XML.,"Sihem Amer-Yahia, Mary F. Fernández, Divesh Srivastava, Yu Xu",VLDB,2003,,0.6,53909f8c20f70186a0e3fe3253e99b36b7602d97023d297bPhrase Matching in XMLPhrase Matching in XML.
53909f8c20f70186a0e3fe3c,Scheduling for shared window joins over data streams,"Moustafa A. Hammad, Michael J. Franklin, Walid G. Aref, Ahmed K. Elmagarmid",VLDB '03 Proceedings of the 29th international conference on Very large data bases - Volume 29,2003,,53e9a5a1b7602d9702ecb457,Scheduling for shared window joins over data streams.,"Moustafa A. Hammad, Michael J. Franklin, Walid G. Aref, Ahmed K. Elmagarmid",VLDB,2003,,0.7777777777777778,53909f8c20f70186a0e3fe3c53e9a5a1b7602d9702ecb457Scheduling for shared window joins over data streamsScheduling for shared window joins over data streams.
53909f8c20f70186a0e3fe7f,Who needs XML database?,Sophie Cluet,VLDB '03 Proceedings of the 29th international conference on Very large data bases - Volume 29,2003,,53e99ad0b7602d970234e489,Who needs XML Databases?,Sophie Cluet,VLDB,2003,,0.6,53909f8c20f70186a0e3fe7f53e99ad0b7602d970234e489Who needs XML database?Who needs XML Databases?
53909f8c20f70186a0e3fe62,Supporting top-K join queries in relational databases,"Ihab F. Ilyas, Walid G. Aref, Ahmed K. Elmagarmid",VLDB '03 Proceedings of the 29th international conference on Very large data bases - Volume 29,2003,,53e9afcdb7602d9703a21cb7,Supporting top-k join queries in relational databases.,"Ihab F. Ilyas, Walid G. Aref, Ahmed K. Elmagarmid",VLDB J.,2004,,0.5555555555555556,53909f8c20f70186a0e3fe6253e9afcdb7602d9703a21cb7Supporting top-K join queries in relational databasesSupporting top-k join queries in relational databases.
53909f8c20f70186a0e3fe69,Operator scheduling in a data stream manager,"Don Carney, Uğur Çetintemel, Alex Rasin, Stan Zdonik, Mitch Cherniack, Mike Stonebraker",VLDB '03 Proceedings of the 29th international conference on Very large data bases - Volume 29,2003,,53e9b02fb7602d9703a8a898,Operator scheduling in data stream systems.,"Brian Babcock, Shivnath Babu, Mayur Datar, Rajeev Motwani, Dilys Thomas",VLDB J.,2004,,0.625,53909f8c20f70186a0e3fe6953e9b02fb7602d9703a8a898Operator scheduling in a data stream managerOperator scheduling in data stream systems.
53909f8c20f70186a0e401c8,Clotho: decoupling memory page layout from storage organization,"Minglong Shao, Jiri Schindler, Steven W. Schlosser, Anastassia Ailamaki, Gregory R. Ganger",VLDB '04 Proceedings of the Thirtieth international conference on Very large data bases - Volume 30,2004,,53e9ae05b7602d97038138b6,Clotho: Decoupling memory page layout from storage organization.,"Minglong Shao, Jiri Schindler, Steven W. Schlosser, Anastassia Ailamaki, Gregory R. Ganger",VLDB,2004,,0.6,53909f8c20f70186a0e401c853e9ae05b7602d97038138b6Clotho: decoupling memory page layout from storage organizationClotho: Decoupling memory page layout from storage organization.
539087cf20f70186a0d5b52d,Optimizing Jan Jannink's Implementation of B+-tree deletion,"R. Maelbrancke, H. Olivié",ACM SIGMOD Record,1995,,53e99cd8b7602d970258b387,Optimizing Jan Jannink's Implementation of B+-tree Deletion,"R. Maelbrancke, H. Olivie",SIGMOD Record,1995,,0.75,539087cf20f70186a0d5b52d53e99cd8b7602d970258b387Optimizing Jan Jannink's Implementation of B+-tree deletionOptimizing Jan Jannink's Implementation of B+-tree Deletion
539087cf20f70186a0d5b536,Normalization in OODB design,Byung S. Lee,ACM SIGMOD Record,1995,,53e99a74b7602d97022e39e2,Normalization in OODB Design.,Byung Suk Lee,SIGMOD Record,1995,,0.6,539087cf20f70186a0d5b53653e99a74b7602d97022e39e2Normalization in OODB designNormalization in OODB Design.
539087cf20f70186a0d5b541,Florida International University High Performance Database Research Center,"Naphtali Rishe, Wei Sun, David Barton, Yi Deng, Cyril Orji, Michael Alexopoulos, Leonardo Loureiro, Carlos Ordonez, Mario Sanchez, Artyom Shaposhnikov",ACM SIGMOD Record,1995,,53e99be3b7602d970248e2e6,Florida International University High Performance Database Research Center.,"Naphtali Rishe, Wei Sun 0002, David Barton, Yi Deng, Cyril U. Orji, Michael Alexopoulos, Leonard Loureiro, Carlos Ordonez 0002, Mario Sanchez, Artyom Shaposhnikov",SIGMOD Record,1995,,0.7777777777777778,539087cf20f70186a0d5b54153e99be3b7602d970248e2e6Florida International University High Performance Database Research CenterFlorida International University High Performance Database Research Center.
539087cf20f70186a0d5d037,The database group at National Technical University of Athens (NTUA),CORPORATE National Technical Univ. of Athens,ACM SIGMOD Record,1995,,53e9adcdb7602d97037d291a,The Database Group at National Technical University of Athens (NTUA).,"Timos K. Sellis, Yannis Vassiliou",SIGMOD Record,1995,,0.5384615384615384,539087cf20f70186a0d5d03753e9adcdb7602d97037d291aThe database group at National Technical University of Athens (NTUA)The Database Group at National Technical University of Athens (NTUA).
539087cf20f70186a0d5d03d,"Opportunities at ARPA, NSF, and elsewhere",Xiaolei Qian,ACM SIGMOD Record,1995,,53e9b86db7602d970443619d,"Opportunities at ARPA, NSF, and Elsewhere",Xiaolei Qian,SIGMOD Record,1995,,0.7142857142857143,"539087cf20f70186a0d5d03d53e9b86db7602d970443619dOpportunities at ARPA, NSF, and elsewhereOpportunities at ARPA, NSF, and Elsewhere"
539087cf20f70186a0d5d03f,"Replication: DB2, Oracle, or Sybase?",Doug Stacey,ACM SIGMOD Record,1995,,53e9adcdb7602d97037d6798,"Replication: DB2, Oracle, or Sybase?",Doug Stacey,SIGMOD Record,1995,,1.0,"539087cf20f70186a0d5d03f53e9adcdb7602d97037d6798Replication: DB2, Oracle, or Sybase?Replication: DB2, Oracle, or Sybase?"
539087d920f70186a0d604f3,Middle East Technical University Software Research and Development Center,Asuman Dogac,ACM SIGMOD Record,1996,,53e99e04b7602d97026c5788,Middle East Technical University Software Research and Development Center.,Asuman Dogac,SIGMOD Record,1996,,0.8,539087d920f70186a0d604f353e99e04b7602d97026c5788Middle East Technical University Software Research and Development CenterMiddle East Technical University Software Research and Development Center.
539087dd20f70186a0d62b48,Applying database visualization to the World Wide Web,"Masum Z. Hasan, Alberto O. Mendelzon, Dimitra Vista",ACM SIGMOD Record,1996,,53e9b594b7602d97040da65c,Applying database Visualization to the World Wide Web.,"Masum Z. Hasan, Alberto O. Mendelzon, Dimitra Vista",SIGMOD Record,1996,,0.6,539087dd20f70186a0d62b4853e9b594b7602d97040da65cApplying database visualization to the World Wide WebApplying database Visualization to the World Wide Web.
539087e720f70186a0d69689,About Quark Digital Media System,Kamar Aulakh,SIGMOD '98 Proceedings of the 1998 ACM SIGMOD international conference on Management of data,1998,,53e9ab25b7602d97034afa23,About Quark Digital Media System.,Kamar Aulakh,SIGMOD Conference,1998,,0.6666666666666666,539087e720f70186a0d6968953e9ab25b7602d97034afa23About Quark Digital Media SystemAbout Quark Digital Media System.
539087f320f70186a0d6f876,Query processing techniques for arrays,"Arunprasad P. Marathe, Kenneth Salem",SIGMOD '99 Proceedings of the 1999 ACM SIGMOD international conference on Management of data,1999,,53e9ad04b7602d97036e13e5,Query processing techniques for arrays.,"Arunprasad P. Marathe, Kenneth Salem",VLDB J.,2002,,0.6666666666666666,539087f320f70186a0d6f87653e9ad04b7602d97036e13e5Query processing techniques for arraysQuery processing techniques for arrays.
539087f320f70186a0d70ad8,"SQL: 1999, formerly known as SQL3","Andrew Eisenberg, Jim Melton",ACM SIGMOD Record,1999,,53e9a480b7602d9702d9b138,"SQL: 1999, formerly known as SQL 3.","Andrew Eisenberg, Jim Melton",SIGMOD Record,1999,,0.625,"539087f320f70186a0d70ad853e9a480b7602d9702d9b138SQL: 1999, formerly known as SQL3SQL: 1999, formerly known as SQL 3."
539087fe20f70186a0d758e8,Database research at the University of Oklahoma,"Le Gruenwald, Leonard Brown, Ravi Dirckze, Sylvain Guinepain, Carlos Sanchez, Brian Summers, Sirirut Vanichayobon",ACM SIGMOD Record,1999,,53e9aa66b7602d97033d942d,Database Research at the University of Oklahoma.,"Le Gruenwald, Leonard Brown, Ravi A. Dirckze, Sylvain Guinepain, Carlos Sánchez, Brian Summers, Sirirut Vanichayobon",SIGMOD Record,1999,,0.5555555555555556,539087fe20f70186a0d758e853e9aa66b7602d97033d942dDatabase research at the University of OklahomaDatabase Research at the University of Oklahoma.
5390881220f70186a0d7dbb6,EIHA?!?: deploying Web and WAP services using XML technology,"Chiara Biancheri, Jean-Christophe Pazzaglia, Gavino Paddeu",ACM SIGMOD Record,2001,,53e9babab7602d97046e7c3c,EIHA?!?: Deploying Web and WAP services using XML Technology.,"Chiara Biancheri, Jean-Christophe R. Pazzaglia, Gavino Paddeu",SIGMOD Record,2001,,0.6363636363636364,5390881220f70186a0d7dbb653e9babab7602d97046e7c3cEIHA?!?: deploying Web and WAP services using XML technologyEIHA?!?: Deploying Web and WAP services using XML Technology.
5390881220f70186a0d7e2e1,Proceedings of the 2001 ACM SIGMOD international conference on Management of data,"Timos Sellis, Sharad Mehrotra",ACM SIGMOD International Conference on Management of Data,2001,,53e9b2aab7602d9703d536d8,"Proceedings of the 2001 ACM SIGMOD international conference on Management of data, Santa Barbara, CA, USA, May 21-24, 2001",,SIGMOD Conference,2001,,0.5555555555555556,"5390881220f70186a0d7e2e153e9b2aab7602d9703d536d8Proceedings of the 2001 ACM SIGMOD international conference on Management of dataProceedings of the 2001 ACM SIGMOD international conference on Management of data, Santa Barbara, CA, USA, May 21-24, 2001"
5390881220f70186a0d7f823,Overview of the STanford Real-time Information Processor (STRIP),"Brad Adelberg, Ben Kao, Hector Garcia-Molina",ACM SIGMOD Record,1996,,53e9accbb7602d97036a9957,Overview of the STanford Real-time Information Processor (STRIP).,"Brad Adelberg, Ben Kao, Hector Garcia-Molina",SIGMOD Record,1996,,0.7777777777777778,5390881220f70186a0d7f82353e9accbb7602d97036a9957Overview of the STanford Real-time Information Processor (STRIP)Overview of the STanford Real-time Information Processor (STRIP).
5390881220f70186a0d7f82e,"Database research at the Indian Institute of Technology, Bombay","D. B. Phatak, N. L. Sarda, S. Seshadri, S. Sudarshan",ACM SIGMOD Record,1996,,53e99cdfb7602d9702593ea4,"Database Research at the Indian Institute of Technology, Bombay.","D. B. Phatak, Nandlal L. Sarda, S. Seshadri, S. Sudarshan 0001",SIGMOD Record,1996,,0.6363636363636364,"5390881220f70186a0d7f82e53e99cdfb7602d9702593ea4Database research at the Indian Institute of Technology, BombayDatabase Research at the Indian Institute of Technology, Bombay."
5390881820f70186a0d8111c,Report on the 18th British National Conference on Databases (BNCOD),"Carole Goble, Brian Read",ACM SIGMOD Record,2002,,53e9b62eb7602d970418b0b2,Report on the 18th British National Conference on Databases (BNCOD).,"Carole A. Goble, Brian J. Read",SIGMOD Record,2002,,0.8,5390881820f70186a0d8111c53e9b62eb7602d970418b0b2Report on the 18th British National Conference on Databases (BNCOD)Report on the 18th British National Conference on Databases (BNCOD).
