paper ID,paper title,author names,publication venue,year of publication,index
5390975920f70186a0dfc987,content and structure in indexing and ranking xml,"felix weigel, holger meuss, klaus u schulz, françois bry",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,140
5390975920f70186a0dfc98a,on validation of xml streams using finite state machines,"cristiana chitic, daniela rosu",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,141
5390975920f70186a0dfc986,challenges in selecting paths for navigational queries tradeoff of benefit of path versus cost of plan,"maríaesther vidal, louiqa raschid, julian mestre",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,142
5390975920f70186a0dfc97c,"spam, damn spam, and statistics using statistical analysis to locate spam web pages","dennis fetterly, mark manasse, marc najork",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,143
5390975920f70186a0dfc981,scalable dissemination whats hot and whats not,"jonathan beaver, nicholas morsillo, kirk pruhs, panos k chrysanthis, vincenzo liberatore",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,144
5390975920f70186a0dfc984,unraveling the duplicateelimination problem in xmltosql query translation,"rajasekar krishnamurthy, raghav kaushik, jeffrey f naughton",proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,145
5390975920f70186a0dfdc0c,text centric structure extraction and exploitation abstract only,prabhakar raghavan,proceedings of the 7th international workshop on the web and databases colocated with acm sigmodpods 2004,2004,146
5590e1730cf2baaad9717854,the vldb journal  the international journal on very large data bases,,the vldb journal  the international journal on very large data bases,2004,147
5390975920f70186a0dfe2ab,life science research and data managementwhat can they give each other,amarnath gupta,acm sigmod record,2004,154
5390975920f70186a0dfe2bb,"review of managing gigabytes compressing and indexing documents and images, by ian h witten, alistair moffat, and timothy c bell morgan kauffman, 1999, 519 pp isbn 1558605703",s v nagaraj,acm sigmod record,2004,161
5390975920f70186a0dfe2b9,"jeffrey naughton speaks out on database systems as control freaks, how to choose students, how to choose problems, how to get attention, the importance of being true to yourself, and more",marianne winslett,acm sigmod record,2004,162
5390975920f70186a0dfe2b1,"the genalg project developing a new integrating data model, language, and tool for managing and querying genomic information","joachim hammer, markus schneider",acm sigmod record,2004,172
5590cf4f0cf25001c36eeff7,acm sigmod record,,acm sigmod record,2004,174
558e0b600cf2e6675805097a,acm sigmod record,,acm sigmod record,2004,179
5390979920f70186a0dffb88,"phil bernstein speaks out on trends at industrial research labs what metadata management products need, peculiarities of the tenure sytem, how to fix the problems with database research conferences, and more",marianne winslett,acm sigmod record,2004,194
5590cdf40cf237666fc28cff,the vldb journal  the international journal on very large data bases,,the vldb journal  the international journal on very large data bases,2004,201
5590dd290cf2ce4b6f3a0918,acm sigmod record,,acm sigmod record,2004,202
5390980720f70186a0e01e40,"review of emergence and convergence qualitative novelty and the unity of knowledge by mario bunge, university of toronto press, 2004, isbn 0802088600",haim kilov,acm sigmod record,2004,208
5390980720f70186a0e01e3f,"review of web services by g alonso, f casati, h kuno, and v machiraju, springerverlag, 2004, isbn 30540440089",dirk wodtke,acm sigmod record,2004,219
5390980720f70186a0e01e3e,"c mohan speaks out on r, message queues, computer science in india, how aries came about, life as an ibm fellow, and more",marianne winslett,acm sigmod record,2004,220
5390980720f70186a0e03e99,binocular a system monitoring framework,"fatih emekci, sezai e tuna, divyakant agrawal, amr el abbadi",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,222
5390980720f70186a0e03e9a,adaptive sampling for sensor networks,"ankur jain, edward y chang",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,223
5390980720f70186a0e03e9e,optimization of innetwork data reduction,"joseph m hellerstein, wei wang",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,224
5390980720f70186a0e03e98,proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,"alexandros labrinidis, samuel madden",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,225
5390980720f70186a0e03e9b,predictive filtering a learningbased approach to data stream filtering,"vibhore kumar, brian f cooper, shamkant b navathe",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,226
5390980720f70186a0e03ea7,kpt a dynamic knn query processing algorithm for locationaware sensor networks,"julian winter, wangchien lee",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,227
5390980720f70186a0e03e9d,approximately uniform random sampling in sensor networks,"boulat a bash, john w byers, jeffrey considine",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,228
5390980720f70186a0e03ea4,active rules for sensor databases,"m zoumboulakis, g roussos, a poulovassilis",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,229
5390980720f70186a0e03ea5,a framework for spatiotemporal query processing over wireless sensor networks,"alexandru coman, mario a nascimento, jörg sander",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,230
5390980720f70186a0e03ea6,"missioncritical management of mobile sensors or, how to guide a flock of sensors","goce trajcevski, peter scheuermann, herve brönnimann",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,231
5390980720f70186a0e03ea2,region streams functional macroprogramming for sensor networks,"ryan newton, matt welsh",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,232
5390980720f70186a0e03ea3,streamglobe adaptive query processing and optimization in streaming p2p environments,"bernhard stegmaier, richard kuntschke, alfons kemper",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,233
5390980720f70186a0e03ea1,a framework for extending the synergy between mac layer and query optimization in sensor networks,"vladimir i zadorozhny, panos k chrysanthis, prashant krishnamurthy",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,234
5390980720f70186a0e03e9f,wavescheduling energyefficient data dissemination for sensor networks,"niki trigoni, yong yao, alan demers, johannes gehrke, rajmohan rajaraman",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,235
5390980720f70186a0e03e9c,confidencebased data management for personal area sensor networks,"nesime tatbul, mark buller, reed hoyt, steve mullen, stan zdonik",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,236
5390980720f70186a0e03ea0,"meadows modeling, emulation, and analysis of data of wireless sensor networks","qiong luo, lionel m ni, bingsheng he, hejun wu, wenwei xue",dmsn 04 proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,2004,237
5390981d20f70186a0e0499f,"the past, present and future of web information retrieval",monika henzinger,pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,238
5390981d20f70186a0e0499c,"conditional xpath, the first order complete xpath dialect",maarten marx,pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,239
5390981d20f70186a0e049a1,using nonlinear dynamical systems for web searching and ranking,panayiotis tsaparas,pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,240
5390981d20f70186a0e0499e,positive active xml,"serge abiteboul, omar benjelloun, tova milo",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,241
5390981d20f70186a0e0499d,frontiers of tractability for typechecking simple xml transformations,"wim martens, frank neven",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,242
5390981d20f70186a0e049b0,"trees, automata and xml",thomas schwentick,pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,243
5390981d20f70186a0e049a6,"roads, codes, and spatiotemporal queries","sandeep gupta, swastik kopparty, chinya ravishankar",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,244
5390981d20f70186a0e049aa,kmeans projective clustering,"pankaj k agarwal, nabil h mustafa",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,245
5390981d20f70186a0e049a0,comparing and aggregating rankings with ties,"ronald fagin, ravi kumar, mohammad mahdian, d sivakumar, erik vee",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,246
5390981d20f70186a0e049ab,deterministic wavelet thresholding for maximumerror metrics,"minos garofalakis, amit kumar",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,247
5390981d20f70186a0e049a2,specification and verification of datadriven web services,"alin deutsch, liying sui, victor vianu",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,248
5390981d20f70186a0e049af,weighted hypertree decompositions and optimal query plans,"francesco scarcello, gianluigi greco, nicola leone",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,249
5390981d20f70186a0e049a4,foundations of semantic web databases,"claudio gutierrez, carlos hurtado, alberto o mendelzon",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,250
5390981d20f70186a0e0499b,the lixto data extraction project back and forth between theory and practice,"georg gottlob, christoph koch, robert baumgartner, marcus herzog, sergio flesca",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,251
5390981d20f70186a0e049ac,on the memory requirements of xpath evaluation over xml streams,"ziv baryossef, marcus fontoura, vanja josifovski",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,252
5390981d20f70186a0e049ae,synopses for query optimization a spacecomplexity perspective,"raghav kaushik, raghu ramakrishnan, venkatesan t chakaravarthy",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,253
5390981d20f70186a0e049ad,conjunctive queries over trees,"georg gottlob, christoph koch, klaus u schulz",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,254
5390981d20f70186a0e049a3,composing schema mappings secondorder dependencies to the rescue,"ronald fagin, phokion g kolaitis, wangchiew tan, lucian popa",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,255
5390981d20f70186a0e049a7,replicated declustering of spatial data,"hakan ferhatosmanoǧlu, ali şaman tosun, aravind ramachandran",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,256
5390981d20f70186a0e049a9,computational complexity of itemset frequency satisfiability,toon calders,pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,257
5390981d20f70186a0e049a8,clustering via matrix powering,"hanson zhou, david woodruff",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,258
5390981d20f70186a0e049a5,a characterization of firstorder topological properties of planar spatial data,"michael benedikt, jan van den bussche, christof löding, thomas wilke",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,259
5390981d20f70186a0e049b1,on the complexity of optimal kanonymity,"adam meyerson, ryan williams",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,260
5390981d20f70186a0e049b8,on the decidability of containment of recursive datalog queries  preliminary report,piero a bonatti,pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,261
5390981d20f70186a0e049b2,locally consistent transformations and query answering in data exchange,"marcelo arenas, pablo barceló, ronald fagin, leonid libkin",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,262
5390981d20f70186a0e049b6,powerconserving computation of orderstatistics over sensor networks,"michael b greenwald, sanjeev khanna",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,263
5390981d20f70186a0e049b9,processing firstorder queries under limited access patterns,"alan nash, bertram ludäscher",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,264
5390981d20f70186a0e049ba,on preservation under homomorphisms and unions of conjunctive queries,"albert atserias, anuj dawar, phokion g kolaitis",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,265
5390981d20f70186a0e049b4,adaptive sampling for geometric problems over data streams,"john hershberger, subhash suri",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,266
5390981d20f70186a0e049bb,multivalued dependencies in the presence of lists,"sven hartmann, sebastian link",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,267
5390981d20f70186a0e049b5,flexible time management in data stream systems,"utkarsh srivastava, jennifer widom",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,268
5390981d20f70186a0e049b7,approximate counts and quantiles over sliding windows,"arvind arasu, gurmeet singh manku",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,269
5390981d20f70186a0e049b3,logical foundations of peertopeer data integration,"diego calvanese, giuseppe de giacomo, maurizio lenzerini, riccardo rosati",pods 04 proceedings of the twentythird acm sigmodsigactsigart symposium on principles of database systems,2004,270
53909f6920f70186a0e3a963,foundation matters,c j date,vldb 02 proceedings of the 28th international conference on very large data bases,2002,271
53909f6920f70186a0e3a967,adaptable similarity search using nonrelevant information,"t v ashwin, rahul gupta, sugata ghosal",vldb 02 proceedings of the 28th international conference on very large data bases,2002,273
53909f6920f70186a0e3a968,sideway value algebra for objectrelational databases,"g özsoyoǧlu, a alhamdani, i s altingövde, s a özel, ö ulusoy, z m özsoyoǧlu",vldb 02 proceedings of the 28th international conference on very large data bases,2002,274
53909f6920f70186a0e3a964,"wireless graffiti data, data everywhere","tomasz imielinski, badri nath",vldb 02 proceedings of the 28th international conference on very large data bases,2002,275
53909f6920f70186a0e3a969,database selection using actual physical and acquired logical collection resources in a massive domainspecific operational environment,"jack g conrad, xi s guo, peter jackson, monem meziou",vldb 02 proceedings of the 28th international conference on very large data bases,2002,276
53909f6920f70186a0e3a973,generic database cost models for hierarchical memory systems,"stefan manegold, peter boncz, martin l kersten",vldb 02 proceedings of the 28th international conference on very large data bases,2002,277
53909f6920f70186a0e3a972,plan selection based on query clustering,"antara ghosh, jignashu parikh, vibhuti s sengar, jayant r haritsa",vldb 02 proceedings of the 28th international conference on very large data bases,2002,278
53909f6920f70186a0e3a961,proceedings of the 28th international conference on very large data bases,,vldb 02 proceedings of the 28th international conference on very large data bases,2002,279
53909f6920f70186a0e3a96d,optimizing view queries in rolex to support navigable result trees,"p bohannon, s ganguly, h f korth, p p s narayan, p shenoy",vldb 02 proceedings of the 28th international conference on very large data bases,2002,280
53909f6920f70186a0e3a977,updates for structure indexes,"raghav kaushik, philip bohannon, jeffrey f naughton, pradeep shenoy",vldb 02 proceedings of the 28th international conference on very large data bases,2002,283
53909f6920f70186a0e3a982,optimizing result prefetching in web search engines with segmented indices,"ronny lempel, shlomo moran",vldb 02 proceedings of the 28th international conference on very large data bases,2002,286
53909f6920f70186a0e3a986,adaptive index structures,"yufei tao, dimitris papadias",vldb 02 proceedings of the 28th international conference on very large data bases,2002,287
53909f6920f70186a0e3a983,ioconscious data preparation for largescale web search engines,"maxim lifantsev, tzicker chiueh",vldb 02 proceedings of the 28th international conference on very large data bases,2002,288
53909f6920f70186a0e3a96f,hippocratic databases,"rakesh agrawal, jerry kiernan, ramakrishnan srikant, yirong xu",vldb 02 proceedings of the 28th international conference on very large data bases,2002,290
53909f6920f70186a0e3a97b,continuous nearest neighbor search,"yufei tao, dimitris papadias, qiongmao shen",vldb 02 proceedings of the 28th international conference on very large data bases,2002,291
53909f6920f70186a0e3a98a,structure and value synopses for xml data graphs,"neoklis polyzotis, minos garofalakis",vldb 02 proceedings of the 28th international conference on very large data bases,2002,295
53909f6920f70186a0e3a98c,optimizing the secure evaluation of twig queries,"sungran cho, sihem ameryahia, laks v s lakshmanan, divesh srivastava",vldb 02 proceedings of the 28th international conference on very large data bases,2002,297
53909f6920f70186a0e3a979,efficient structural joins on indexed xml documents,"shuyao chien, zografoula vagena, donghui zhang, vassilis j tsotras, carlo zaniolo",vldb 02 proceedings of the 28th international conference on very large data bases,2002,298
53909f6920f70186a0e3a98e,effective change detection using sampling,"junghoo cho, alexandros ntoulas",vldb 02 proceedings of the 28th international conference on very large data bases,2002,300
53909f6920f70186a0e3a993,improving data access of j2ee applications by exploiting asynchronous messaging and caching services,"samuel kounev, alejandro buchmann",vldb 02 proceedings of the 28th international conference on very large data bases,2002,301
53909f6920f70186a0e3a97d,foundations of preferences in database systems,werner kießling,vldb 02 proceedings of the 28th international conference on very large data bases,2002,302
53909f6920f70186a0e3a998,searching on the secondary structure of protein sequences,"laurie hammel, jignesh m patel",vldb 02 proceedings of the 28th international conference on very large data bases,2002,303
53909f6920f70186a0e3a985,exact indexing of dynamic time warping,eamonn keogh,vldb 02 proceedings of the 28th international conference on very large data bases,2002,304
53909f6920f70186a0e3a992,view invalidation for dynamic content caching in multitiered architectures,"k selçuk candan, divyakant agrawal, wensyan li, oliver po, wangpin hsiung",vldb 02 proceedings of the 28th international conference on very large data bases,2002,305
53909f6920f70186a0e3a997,efficient exploration of large scientific databases,"etzard stolte, gustavo alonso",vldb 02 proceedings of the 28th international conference on very large data bases,2002,306
53909f6920f70186a0e3a99f,lightweight flexible isolation for languagebased extensible systems,"laurent daynès, grzegorz czajkowski",vldb 02 proceedings of the 28th international conference on very large data bases,2002,309
53909f6920f70186a0e3a99e,an almostserial protocol for transaction execution in mainmemory database systems,"stephen blott, henry f korth",vldb 02 proceedings of the 28th international conference on very large data bases,2002,310
53909f6920f70186a0e3a991,using latencyrecency profiles for data delivery on the web,"laura bright, louiqa raschid",vldb 02 proceedings of the 28th international conference on very large data bases,2002,311
53909f6920f70186a0e3a9a3,the generalized mdl approach for summarization,"laks v s lakshmanan, raymond t ng, christine xing wang, xiaodong zhou, theodore j johnson",vldb 02 proceedings of the 28th international conference on very large data bases,2002,312
53909f6920f70186a0e3a9a1,exploiting versions for online data warehouse maintenance in molap servers,"heumgeun kang, chinwan chung",vldb 02 proceedings of the 28th international conference on very large data bases,2002,313
53909f6920f70186a0e3a995,translating web data,"lucian popa, yannis velegrakis, mauricio a hernández, renée j miller, ronald fagin",vldb 02 proceedings of the 28th international conference on very large data bases,2002,314
53909f6920f70186a0e3a994,eliminating fuzzy duplicates in data warehouses,"rohit ananthakrishna, surajit chaudhuri, venkatesh ganti",vldb 02 proceedings of the 28th international conference on very large data bases,2002,315
53909f6920f70186a0e3a9a0,processing star queries on hierarchicallyclustered fact tables,"nikos karayannidis, aris tsois, timos sellis, roland pieringer, volker markl, frank ramsak, robert fenk, klaus elhardt, rudolf bayer",vldb 02 proceedings of the 28th international conference on very large data bases,2002,316
53909f6920f70186a0e3a975,monitoring streams a new class of data management applications,"don carney, uǧur çetintemel, mitch cherniack, christian convey, sangdon lee, greg seidman, michael stonebraker, nesime tatbul, stan zdonik",vldb 02 proceedings of the 28th international conference on very large data bases,2002,317
53909f6920f70186a0e3a9a5,a onepass aggregation algorithm with the optimal buffer size in multidimensional olap,"youngkoo lee, kyuyoung whang, yangsae moon, ilyeol song",vldb 02 proceedings of the 28th international conference on very large data bases,2002,319
53909f6920f70186a0e3a9a6,incremental maintenance for nondistributive aggregate functions,"themistoklis palpanas, richard sidle, roberta cochrane, hamid pirahesh",vldb 02 proceedings of the 28th international conference on very large data bases,2002,321
53909f6920f70186a0e3a9ab,toward recoveryoriented computing,armando fox,vldb 02 proceedings of the 28th international conference on very large data bases,2002,324
53909f6920f70186a0e3a99c,maintaining data privacy in association rule mining,"shariq j rizvi, jayant r haritsa",vldb 02 proceedings of the 28th international conference on very large data bases,2002,325
53909f6920f70186a0e3a9ad,business process cockpit,"mehmet sayal, fabio casati, umeshwar dayal, mingchien shan",vldb 02 proceedings of the 28th international conference on very large data bases,2002,329
53909f6920f70186a0e3a9b6,sql memory management in oracle9i,"benoît dageville, mohamed zait",vldb 02 proceedings of the 28th international conference on very large data bases,2002,331
53909f6920f70186a0e3a9b4,an efficient method for performing record deletions and updates using index scans,c mohan,vldb 02 proceedings of the 28th international conference on very large data bases,2002,332
53909f6920f70186a0e3a9b8,the denodo data integration platform,"alberto pan, juan raposo, manuel álvarez, paula montoto, vicente orjales, justo hidalgo, lucía ardao, anastasio molano, ángel viña",vldb 02 proceedings of the 28th international conference on very large data bases,2002,334
53909f6920f70186a0e3a9bb,information management challenges from the aerospace industry,suryanarayana m sripada,vldb 02 proceedings of the 28th international conference on very large data bases,2002,335
53909f6920f70186a0e3a9bc,experiments on query expansion for internet yellow page services using web log mining,"yusuke ohura, katsumi takahashi, iko pramudiono, masaru kitsuregawa",vldb 02 proceedings of the 28th international conference on very large data bases,2002,336
53909f6920f70186a0e3a980,approximate frequency counts over data streams,"gurmeet singh manku, rajeev motwani",vldb 02 proceedings of the 28th international conference on very large data bases,2002,337
53909f6920f70186a0e3a9bd,issues and evaluations of caching solutions for web application acceleration,"wensyan li, wangpin hsiung, dmitri v kalashnikov, radu sion, oliver po, divyakant agrawal, k selçuk candan",vldb 02 proceedings of the 28th international conference on very large data bases,2002,339
53909f6920f70186a0e3a9b9,"preference sql design, implementation, experiences","werner kießling, gerhard köstler",vldb 02 proceedings of the 28th international conference on very large data bases,2002,341
53909f6920f70186a0e3a9be,an automated system for web portal personalization,"charu c aggarwal, philip s yu",vldb 02 proceedings of the 28th international conference on very large data bases,2002,342
53909f6920f70186a0e3a9c3,advanced database technologies in a diabetic healthcare system,"wynne hsu, mong li lee, beng chin ooi, pranab kumar mohanty, keng lik teo, chenyi xia",vldb 02 proceedings of the 28th international conference on very large data bases,2002,344
53909f6920f70186a0e3a9c2,database technologies for electronic commerce,"rakesh agrawal, ramakrishnan srikant, yirong xu",vldb 02 proceedings of the 28th international conference on very large data bases,2002,345
53909f6920f70186a0e3a9c8,extending an ordbms the statemachine module,"wolfgang mahnke, christian mathis, hanspeter steiert",vldb 02 proceedings of the 28th international conference on very large data bases,2002,346
53909f6920f70186a0e3a9c5,viator a tool family for graphical networking and data view creation,"stephan heymann, katja tham, axel kilian, gunnar wegner, peter rieger, dieter merkel, johann christoph freytag",vldb 02 proceedings of the 28th international conference on very large data bases,2002,347
53909f6920f70186a0e3a9c6,profiling and internet connectivity in automotive environments,"m cilia, p hasselmeyer, a p buchmann",vldb 02 proceedings of the 28th international conference on very large data bases,2002,356
