,paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,similarity_score,ID,_merge
143,539087dd20f70186a0d6448b,proceedings of the 1997 acm sigmod international conference on management of data,"joan m peckman, sudha ram, michael franklin",joint acm sigmod international conference on management of data and acm symposium on principles of database systems,1997,955,53e9ac54b7602d9703624c56,"proceedings of the acm sigmod international conference on management of data, paris, france, june 1318, 2004",,sigmod conference,2004,4216,0.5294117647058824,539087dd20f70186a0d6448b53e9ac54b7602d9703624c56,left_only
144,539087dd20f70186a0d6448b,proceedings of the 1997 acm sigmod international conference on management of data,"joan m peckman, sudha ram, michael franklin",joint acm sigmod international conference on management of data and acm symposium on principles of database systems,1997,955,53e9b3e9b7602d9703edad8e,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 36, 2002",,sigmod conference,2002,4233,0.5294117647058824,539087dd20f70186a0d6448b53e9b3e9b7602d9703edad8e,left_only
152,539087dd20f70186a0d644a5,an arraybased algorithm for simultaneous multidimensional aggregates,"yihong zhao, prasad m deshpande, jeffrey f naughton",sigmod 97 proceedings of the 1997 acm sigmod international conference on management of data,1997,969,53e9b8aeb7602d9704487d4c,review  an arraybased algorithm for simultaneous multidimensional aggregates,jiawei han,acm sigmod digital review,1999,4528,0.6174999999999999,539087dd20f70186a0d644a553e9b8aeb7602d9704487d4c,left_only
155,539087dd20f70186a0d644d4,devise integrated querying and visual exploration of large datasets,"m livny, r ramakrishnan, k beyer, g chen, d donjerkovic, s lawande, j myllymaki, k wenger",sigmod 97 proceedings of the 1997 acm sigmod international conference on management of data,1997,984,53e998e9b7602d9702127828,devise integrated querying and visualization of large datasets,"miron livny, raghu ramakrishnan, kevin s beyer, guangshun chen, donko donjerkovic, shilpa lawande, jussi myllymaki, r kent wenger",sigmod conference,1997,4785,0.6726086956521738,539087dd20f70186a0d644d453e998e9b7602d9702127828,left_only
163,539087dd20f70186a0d64500,devise demo abstract integrated querying and visual exploration of large datasets,"m livny, r ramakrishnan, k beyer, g chen, d donjerkovic, s lawande, j myllymaki, k wenger",sigmod 97 proceedings of the 1997 acm sigmod international conference on management of data,1997,1002,53e998e9b7602d9702127828,devise integrated querying and visualization of large datasets,"miron livny, raghu ramakrishnan, kevin s beyer, guangshun chen, donko donjerkovic, shilpa lawande, jussi myllymaki, r kent wenger",sigmod conference,1997,4785,0.5909420289855072,539087dd20f70186a0d6450053e998e9b7602d9702127828,left_only
172,539087e120f70186a0d665fb,database systemsbreaking out of the box,"avi silberschatz, stan zdonik",acm sigmod record,1997,1023,53e99940b7602d970217c6c8,database systems  breaking out of the box,"abraham silberschatz, stanley b zdonik",sigmod record,1997,3724,0.6131097560975609,539087e120f70186a0d665fb53e99940b7602d970217c6c8,left_only
176,539087e120f70186a0d66903,answering recursive queries using views,"oliver m duschka, michael r genesereth",pods 97 proceedings of the sixteenth acm sigactsigmodsigart symposium on principles of database systems,1997,1040,53e9a326b7602d9702c2fd69,review  answering recursive queries using views,alon y levy,acm sigmod digital review,1999,4517,0.5833333333333334,539087e120f70186a0d6690353e9a326b7602d9702c2fd69,left_only
183,539087e720f70186a0d6840d,workshop on workflow management in scientific and engineering applicationsreport,"r mcclatchey, g vossen",acm sigmod record,1997,1066,53e9bda6b7602d9704a53431,workshop on workflow management in scientific and engineering applications  report,"richard mcclatchey, gottfried vossen",sigmod record,1997,4970,0.6669856459330143,539087e720f70186a0d6840d53e9bda6b7602d9704a53431,left_only
204,539087e720f70186a0d6934e,a cost model for similarity queries in metric spaces,"paolo ciaccia, marco patella, pavel zezula",pods 98 proceedings of the seventeenth acm sigactsigmodsigart symposium on principles of database systems,1998,1095,53e9b1a9b7602d9703c33e40,mtree an efficient access method for similarity search in metric spaces,"paolo ciaccia, marco patella, pavel zezula",vldb,1997,4022,0.5333333333333333,539087e720f70186a0d6934e53e9b1a9b7602d9703c33e40,left_only
205,539087e720f70186a0d6935a,relational transducers for electronic commerce,"serge abiteboul, victor vianu, brad fordham, yelena yesha",pods 98 proceedings of the seventeenth acm sigactsigmodsigart symposium on principles of database systems,1998,1105,53e998b8b7602d97020eee1a,review  relational transducers for electronic commerce,anant jhingran,acm sigmod digital review,1999,4579,0.587948717948718,539087e720f70186a0d6935a53e998b8b7602d97020eee1a,left_only
206,539087e720f70186a0d69363,complexity of answering queries using materialized views,"serge abiteboul, oliver m duschka",pods 98 proceedings of the seventeenth acm sigactsigmodsigart symposium on principles of database systems,1998,1116,53e9a388b7602d9702c99912,review  complexity of answering queries using materialized views,alon y levy,acm sigmod digital review,1999,4573,0.6193181818181818,539087e720f70186a0d6936353e9a388b7602d9702c99912,left_only
207,539087e720f70186a0d6964c,proceedings of the 1998 acm sigmod international conference on management of data,"laura haas, pamela drew, ashutosh tiwary, michael franklin",special interest group on management of data sigmodprinciples of data base systems pods,1998,1138,53e9ac54b7602d9703624c56,"proceedings of the acm sigmod international conference on management of data, paris, france, june 1318, 2004",,sigmod conference,2004,4216,0.5294117647058824,539087e720f70186a0d6964c53e9ac54b7602d9703624c56,left_only
208,539087e720f70186a0d6964c,proceedings of the 1998 acm sigmod international conference on management of data,"laura haas, pamela drew, ashutosh tiwary, michael franklin",special interest group on management of data sigmodprinciples of data base systems pods,1998,1138,53e9b3e9b7602d9703edad8e,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 36, 2002",,sigmod conference,2002,4233,0.5294117647058824,539087e720f70186a0d6964c53e9b3e9b7602d9703edad8e,left_only
213,539087e720f70186a0d6966a,integrating association rule mining with relational database systems alternatives and implications,"sunita sarawagi, shiby thomas, rakesh agrawal",sigmod 98 proceedings of the 1998 acm sigmod international conference on management of data,1998,1144,53e9a905b7602d97032558cf,review  integrating mining with relational database systems alternatives and implications,surajit chaudhuri,acm sigmod digital review,2000,4540,0.5357142857142856,539087e720f70186a0d6966a53e9a905b7602d97032558cf,left_only
235,539087e720f70186a0d696a1,dtls dataspot database exploration as easy as browsing the web,"shaul dar, gadi entin, shai geva, eran palmon",sigmod 98 proceedings of the 1998 acm sigmod international conference on management of data,1998,1199,53e9bc80b7602d970490276f,dtls dataspot database exploration using plain language,"shaul dar, gadi entin, shai geva, eran palmon",vldb,1998,3351,0.5333333333333333,539087e720f70186a0d696a153e9bc80b7602d970490276f,left_only
243,539087eb20f70186a0d6a44f,sonar system for optimized numeric association rules,"takeshi fukuda, yasuhiko morimoto, shinichi morishita, takeshi tokuyama",sigmod 96 proceedings of the 1996 acm sigmod international conference on management of data,1996,1214,53e9b5b6b7602d97040fa1e4,constructing efficient decision trees by using optimized numeric association rules,"takeshi fukuda, yasuhiko morimoto, shinichi morishita, takeshi tokuyama",vldb,1996,3073,0.5153846153846153,539087eb20f70186a0d6a44f53e9b5b6b7602d97040fa1e4,left_only
254,539087f320f70186a0d6f7a1,rewriting of regular expressions and regular path queries,"diego calvanese, giuseppe de giacomo, maurizio lenzerini, moshe y vardi",pods 99 proceedings of the eighteenth acm sigmodsigactsigart symposium on principles of database systems,1999,1250,53e9a11bb7602d9702a083b4,review  rewriting of regular expressions and regular path queries,alberto o mendelzon,acm sigmod digital review,1999,4557,0.6160714285714285,539087f320f70186a0d6f7a153e9a11bb7602d9702a083b4,left_only
255,539087f320f70186a0d6f7a1,rewriting of regular expressions and regular path queries,"diego calvanese, giuseppe de giacomo, maurizio lenzerini, moshe y vardi",pods 99 proceedings of the eighteenth acm sigmodsigactsigart symposium on principles of database systems,1999,1250,53e9ad68b7602d970374f0fd,reasoning on regular path queries,"diego calvanese, giuseppe de giacomo, maurizio lenzerini, moshe y vardi",sigmod record,2003,3522,0.5333333333333333,539087f320f70186a0d6f7a153e9ad68b7602d970374f0fd,left_only
257,539087f320f70186a0d6f7a6,substring selectivity estimation,"h v jagadish, raymond t ng, divesh srivastava",pods 99 proceedings of the eighteenth acm sigmodsigactsigart symposium on principles of database systems,1999,1254,53e9b1a9b7602d9703c32788,onedimensional and multidimensional substring selectivity estimation,"h v jagadish, olga kapitskaia, raymond t ng, divesh srivastava",vldb j,2000,4140,0.5686440677966101,539087f320f70186a0d6f7a653e9b1a9b7602d9703c32788,left_only
259,539087f320f70186a0d6f871,on random sampling over joins,"surajit chaudhuri, rajeev motwani, vivek narasayya",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1303,53e9aa95b7602d970340faa8,review  on random sampling over joins,dennis shasha,acm sigmod digital review,1999,4501,0.5883333333333334,539087f320f70186a0d6f87153e9aa95b7602d970340faa8,left_only
260,539087f320f70186a0d6f872,join synopses for approximate query answering,"swarup acharya, phillip b gibbons, viswanath poosala, sridhar ramaswamy",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1308,53e9abb2b7602d970355d3d1,review  join synopses for approximate query answering,dennis shasha,acm sigmod digital review,1999,4576,0.6039473684210526,539087f320f70186a0d6f87253e9abb2b7602d970355d3d1,left_only
261,539087f320f70186a0d6f873,ripple joins for online aggregation,"peter j haas, joseph m hellerstein",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1304,53e998dbb7602d97021156b6,review  ripple joins for online aggregation,dennis shasha,acm sigmod digital review,1999,4522,0.5833333333333334,539087f320f70186a0d6f87353e998dbb7602d97021156b6,left_only
264,539087f320f70186a0d6f877,mind your vocabulary query mapping across heterogeneous information sources,"chenchuan k chang, héctor garcíamolina",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1294,53e9b5dab7602d9704126dec,review  mind your vocabulary query mapping across heterogeneous information sources,laura m haas,acm sigmod digital review,2000,4509,0.63625,539087f320f70186a0d6f87753e9b5dab7602d9704126dec,left_only
266,539087f320f70186a0d6f87a,dynamat a dynamic view management system for data warehouses,"yannis kotidis, nick roussopoulos",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1295,53e9a0cab7602d97029b2830,review  dynamat a dynamic view management system for data warehouses,krithi ramamritham,acm sigmod digital review,2000,4560,0.6427659574468085,539087f320f70186a0d6f87a53e9a0cab7602d97029b2830,left_only
267,539087f320f70186a0d6f87c,walrus a similarity retrieval algorithm for image databases,"apostol natsev, rajeev rastogi, kyuseok shim",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1350,53e99b6ab7602d970240fdae,review  walrus a similarity retrieval algorithm for image databases,dennis shasha,acm sigmod digital review,1999,4507,0.6342222222222221,539087f320f70186a0d6f87c53e99b6ab7602d970240fdae,left_only
268,539087f320f70186a0d6f882,recordboundary discovery in web documents,"d w embley, y jiang, yk ng",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1310,53e9b938b7602d9704525c59,review  recordboundary discovery in web documents,m tamer özsu,acm sigmod digital review,2000,4542,0.5833333333333334,539087f320f70186a0d6f88253e9b938b7602d9704525c59,left_only
269,539087f320f70186a0d6f883,automatic discovery of language models for text databases,"jamie callan, margaret connell, aiqun du",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1305,53e9a18db7602d9702a7f012,review  automatic discovery of language models for text databases,laura m haas,acm sigmod digital review,2000,4539,0.6282222222222221,539087f320f70186a0d6f88353e9a18db7602d9702a7f012,left_only
282,539087f320f70186a0d6f897,microsoft site server commerce ed talkslides available at the conference,bassel ojjeh,sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1315,53e9b023b7602d9703a7e33e,microsoft site server commerce edition,bassel ojjeh,sigmod conference,1999,4220,0.5545454545454545,539087f320f70186a0d6f89753e9b023b7602d9703a7e33e,left_only
283,539087f320f70186a0d6f898,ecommerce database issues and experience talkslides available at at the conference,anand rajaraman,sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1316,53e9baa6b7602d97046d29b0,ecommerce database issues and experience,anand rajaraman,sigmod conference,1999,3953,0.6499999999999999,539087f320f70186a0d6f89853e9baa6b7602d97046d29b0,left_only
284,539087f320f70186a0d6f961,phoenix making applications robust,"roger barga, david b lomet",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1328,53e9aed1b7602d97038fac02,phoenix project faulttolerant applications,"roger s barga, david b lomet",sigmod record,2002,2956,0.5111111111111111,539087f320f70186a0d6f96153e9aed1b7602d97038fac02,left_only
286,539087f320f70186a0d6f965,the aqua approximate query answering system,"swarup acharya, phillip b gibbons, viswanath poosala, sridhar ramaswamy",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1339,53e9a11bb7602d9702a0b053,review  the aqua approximate query answering system,timos k sellis,acm sigmod digital review,2000,4587,0.6077922077922078,539087f320f70186a0d6f96553e9a11bb7602d9702a0b053,left_only
289,539087f320f70186a0d6f968,the active multisync controller of the cubetree storage organization,"nick roussopoulos, yannis kotidis, yannis sismanis",sigmod 99 proceedings of the 1999 acm sigmod international conference on management of data,1999,1360,53e99ad7b7602d970235958d,the cubetree storage organization,"nick roussopoulos, yannis kotidis",vldb,1998,3766,0.5961538461538461,539087f320f70186a0d6f96853e99ad7b7602d970235958d,left_only
328,5390880220f70186a0d75efa,xtract a system for extracting document type descriptors from xml documents,"minos garofalakis, aristides gionis, rajeev rastogi, s seshadri, kyuseok shim",sigmod 00 proceedings of the 2000 acm sigmod international conference on management of data,2000,1458,53e9b96eb7602d970455de0a,review  xtract a system for extracting document type descriptors from xml documents,gerhard weikum,acm sigmod digital review,2000,4559,0.6453252032520325,5390880220f70186a0d75efa53e9b96eb7602d970455de0a,left_only
329,5390880220f70186a0d75efe,mocha a selfextensible database middleware system for distributed data sources,"manuel rodríguezmartínez, nick roussopoulos",sigmod 00 proceedings of the 2000 acm sigmod international conference on management of data,2000,1455,53e9a973b7602d97032cc22b,review  mocha a selfextensible database middleware system for distributed data sources,m tamer özsu,acm sigmod digital review,2000,4567,0.6420240137221269,5390880220f70186a0d75efe53e9a973b7602d97032cc22b,left_only
331,5390880220f70186a0d75f08,microsoft terraserver a spatial data warehouse,"tom barclay, jim gray, don slutz",sigmod 00 proceedings of the 2000 acm sigmod international conference on management of data,2000,1456,53e9992bb7602d97021679fb,review  terraserver a spatial data warehouse,gerhard weikum,acm sigmod digital review,2000,4550,0.5068181818181818,5390880220f70186a0d75f0853e9992bb7602d97021679fb,left_only
333,5390880220f70186a0d75f15,privacypreserving data mining,"rakesh agrawal, ramakrishnan srikant",sigmod 00 proceedings of the 2000 acm sigmod international conference on management of data,2000,1504,53e9984bb7602d970207a724,whither data mining,"rakesh agrawal, ramakrishnan srikant",vldb,2004,3846,0.6499999999999999,5390880220f70186a0d75f1553e9984bb7602d970207a724,left_only
336,5390880220f70186a0d75f1f,making b trees cache conscious in main memory,"jun rao, kenneth a ross",sigmod 00 proceedings of the 2000 acm sigmod international conference on management of data,2000,1507,53e9bdc6b7602d9704a737d2,cache conscious indexing for decisionsupport in main memory,"jun rao, kenneth a ross",vldb,1999,3686,0.6181818181818182,5390880220f70186a0d75f1f53e9bdc6b7602d9704a737d2,left_only
341,5390880220f70186a0d75f37,index research panel session forest or trees,"joseph m hellerstein, hanspeter kriegel, david comet, christos falsutsos, raghu ramakrishnan, paul brown",sigmod 00 proceedings of the 2000 acm sigmod international conference on management of data,2000,1486,53e9a885b7602d97031d50ef,index research forest or trees panel abstract,joseph m hellerstein,sigmod conference,2000,4101,0.5927419354838709,5390880220f70186a0d75f3753e9a885b7602d97031d50ef,left_only
343,5390880220f70186a0d75f3a,of xml and databases panel session wheres the beef,"jennifer widom, adam bosworth, bruce lindsay, michael stonebraker, dan suciu, michael j carey",sigmod 00 proceedings of the 2000 acm sigmod international conference on management of data,2000,1512,53e9ba05b7602d97046064c2,on xml and databases wheres the beef panel abstract,michael j carey,sigmod conference,2000,3816,0.5077922077922078,5390880220f70186a0d75f3a53e9ba05b7602d97046064c2,left_only
371,5390880d20f70186a0d7b09b,relational transducers for electronic commerce,"serge abiteboul, victor vianu, brad fordham, yelena yesha",journal of computer and system sciences  special issue on the seventeenth acm sigactsigmodsigart symposium on principles of database systems,2000,1552,53e998b8b7602d97020eee1a,review  relational transducers for electronic commerce,anant jhingran,acm sigmod digital review,1999,4579,0.587948717948718,5390880d20f70186a0d7b09b53e998b8b7602d97020eee1a,left_only
372,5390880d20f70186a0d7b5bd,workshop on performance and architecture of web servers,"krishna kant, prasant mohapatra",acm sigmod record,2000,1558,53e99e54b7602d97027185c1,"workshop on performance and architecture of web servers paws2000, held in conjection with sigmetrics2000","krishna kant, prasant mohapatra",sigmod record,2000,3571,0.7,5390880d20f70186a0d7b5bd53e99e54b7602d97027185c1,left_only
382,5390880d20f70186a0d7cd5f,report on the vldb workshop on technologies for eservices tes,"fabio casati, umesh dayal, mingchien shan",acm sigmod record,2000,1568,53e9ba0bb7602d970460d669,vldb workshop on technologies in eservices tes,"fabio casati, umeshwar dayal, mingchien shan",sigmod record,2000,2989,0.6859090909090908,5390880d20f70186a0d7cd5f53e9ba0bb7602d970460d669,left_only
386,5390880d20f70186a0d7cd65,theory of answering queries using views,alon y halevy,acm sigmod record,2000,1574,53e9a326b7602d9702c2fd69,review  answering recursive queries using views,alon y levy,acm sigmod digital review,1999,4517,0.5375,5390880d20f70186a0d7cd6553e9a326b7602d9702c2fd69,left_only
387,5390880d20f70186a0d7cd65,theory of answering queries using views,alon y halevy,acm sigmod record,2000,1574,53e9a388b7602d9702c99912,review  complexity of answering queries using materialized views,alon y levy,acm sigmod digital review,1999,4573,0.5763888888888888,5390880d20f70186a0d7cd6553e9a388b7602d9702c99912,left_only
401,5390881220f70186a0d7dbfe,report on the fourth international conference on flexible query answering systems fqas 2000,"patrick bosc, amihai motro, gabriella pasi",acm sigmod record,2001,1585,53e99eaeb7602d970277811f,report on fqas 2002 fifth international conference on flexible query answering systems,"amihai motro, troels andreasen",sigmod record,2003,3187,0.5222222222222223,5390881220f70186a0d7dbfe53e99eaeb7602d970277811f,left_only
406,5390881220f70186a0d7e2e1,proceedings of the 2001 acm sigmod international conference on management of data,"timos sellis, sharad mehrotra",acm sigmod international conference on management of data,2001,1613,53e9ac54b7602d9703624c56,"proceedings of the acm sigmod international conference on management of data, paris, france, june 1318, 2004",,sigmod conference,2004,4216,0.5294117647058824,5390881220f70186a0d7e2e153e9ac54b7602d9703624c56,left_only
407,5390881220f70186a0d7e2e1,proceedings of the 2001 acm sigmod international conference on management of data,"timos sellis, sharad mehrotra",acm sigmod international conference on management of data,2001,1613,53e9b2aab7602d9703d536d8,"proceedings of the 2001 acm sigmod international conference on management of data, santa barbara, ca, usa, may 2124, 2001",,sigmod conference,2001,4097,0.5555555555555556,5390881220f70186a0d7e2e153e9b2aab7602d9703d536d8,left_only
408,5390881220f70186a0d7e2e1,proceedings of the 2001 acm sigmod international conference on management of data,"timos sellis, sharad mehrotra",acm sigmod international conference on management of data,2001,1613,53e9b3e9b7602d9703edad8e,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 36, 2002",,sigmod conference,2002,4233,0.5294117647058824,5390881220f70186a0d7e2e153e9b3e9b7602d9703edad8e,left_only
